"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,049","38.66%","81.80%","1,346","65.98%","18.20%","7,395","41.82%"
"Black","9,125","58.33%","93.19%","667","32.70%","6.81%","9,792","55.37%"
"Other","19",".12%","86.36%","3",".15%","13.64%","22",".12%"
"Asian","50",".32%","89.29%","6",".29%","10.71%","56",".32%"
"Unknown","6",".04%","75.00%","2",".10%","25.00%","8",".05%"
"Hispanic","387","2.47%","96.27%","15",".74%","3.73%","402","2.27%"
"Native American","9",".06%","90.00%","1",".05%","10.00%","10",".06%"
"Total Reported","15,645","100%","88.46%","2,040","100%","11.54%","17,685","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","15,645","","","2,040","","","17,685",""
