CY,white_male_pop,white_female_pop,white_pop,black_male_pop,black_female_pop,black_pop,asian_male_pop,asian_female_pop,asian_pop,indian_male_pop,indian_female_pop,indian_pop,hispanic_male_pop,hispanic_female_pop,hispanic_pop,native_american_male_pop,native_american_female_pop,native_american_pop,native_hawaiian_male_pop,native_hawaiian_female_pop,native_hawaiian_pop,race_unknown_male_pop,race_unknown_female_pop,race_unknown_pop,race_other_male_pop,race_other_female_pop,race_other_pop,race_not_reported_male_pop,race_not_reported_female_pop,race_not_reported_pop,race_reported_male_pop,race_reported_female_pop,race_reported
2005,6706,992,7698,10659,851,11510,13,0,13,16,1,17,,,,,,,,,,,,,,,,96,4,100,17394,1844,19238
2006,7549,1502,9051,11909,1171,13080,14,1,15,25,3,28,788,53,841,,,,,,,,,,,,,115,14,129,19612,2691,22303
2007,7194,1230,8424,11707,915,12622,14,0,14,15,3,18,860,60,920,,,,,,,,,,,,,88,5,93,19018,2153,21171
2008,5763,1250,7013,10409,1068,11477,20,6,26,22,1,23,788,78,866,,,,,,,,,,,,,93,9,102,16307,2334,18641
2009,6099,1238,7337,12036,1096,13132,37,0,37,11,0,11,857,75,933,,,,,,,,,,,,,853,10,863,19036,2344,21381
2010,5801,1195,6996,11325,963,12288,35,0,35,,,,826,31,857,12,4,16,0,1,1,1,0,1,15,4,19,0,0,0,18015,2198,20215
2011,6518,1078,7596,11651,825,12476,44,2,46,,,,869,39,908,8,1,9,,,,2,0,2,11,7,18,0,0,0,19103,1952,21055
2012,7156,1191,8347,12225,900,13125,73,9,82,,,,836,26,862,11,1,12,,,,,,,12,5,17,0,0,0,20313,2132,22445
2013,6534,1322,7856,10911,845,11756,54,9,63,,,,648,21,669,5,3,8,,,,3,1,4,9,9,18,0,0,0,18164,2210,20374
2014,6280,1315,7595,9981,778,10759,65,9,74,,,,508,23,531,15,1,16,1,0,1,3,0,3,24,2,26,0,0,0,16877,2128,19005
2015,6049,1346,7395,9125,667,9792,50,6,56,,,,387,15,402,9,1,10,,,,6,2,8,19,3,22,0,0,0,15645,2040,17685
2016,6318,1384,7702,9153,698,9851,64,8,72,,,,419,14,433,8,1,9,1,0,1,3,0,3,24,2,26,0,0,0,15990,2107,18097
2017,6317,1297,7614,8458,651,9109,51,5,56,,,,398,18,416,8,1,9,1,0,1,5,1,6,21,4,25,0,0,0,15259,1977,17236
2018,6398,1553,7951,8930,735,9665,49,9,58,,,,538,27,565,7,3,10,,,,4,0,4,20,2,22,0,0,0,15946,2329,18275
2019,7051,1511,8562,9126,681,9807,55,2,57,,,,463,36,499,10,0,10,1,0,1,8,0,8,20,3,23,0,0,0,16734,2233,18967
2020,4027,835,4862,4808,331,5139,33,2,35,,,,235,7,242,6,1,7,,,,2,0,2,2,1,3,0,0,0,9113,1177,10290
2021,5622,1010,6632,6195,356,6551,43,4,47,,,,342,14,356,6,1,7,,,,6,0,6,12,0,12,0,0,0,12226,1385,13611
2022,5693,1210,6903,7028,504,7532,44,5,49,,,,303,14,317,10,0,10,,,,2,0,2,11,4,15,0,0,0,13091,1737,14828
2023,5655,1149,6804,7420,578,7998,40,2,42,,,,339,18,357,9,2,11,,,,0,1,1,3,4,7,0,0,0,13466,1754,15220
2024,4685,1045,5730,7569,649,8218,54,6,60,,,,492,15,507,10,1,11,,,,2,0,2,10,3,13,0,0,0,12822,1719,14541
2025,4044,1116,5160,7319,734,8053,32,5,37,,,,656,13,669,10,3,13,,,,1,0,1,12,1,13,0,0,0,12074,1872,13946
