"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","7,194","38.00%","85.40%","1,230","57.26%","14.60%","8,424","39.97%"
"Black","11,707","61.84%","92.75%","915","42.60%","7.25%","12,622","59.88%"
"Indian","15",".08%","83.33%","3",".14%","16.67%","18",".09%"
"Asian","14",".07%","100.00%","0","","","14",".07%"
"Total Reported","18,930","100%","89.81%","2,148","100%","10.19%","21,078","100%"
"Not Reported","88","","","5","","","93",""
"Grand Total","19,018","","","2,153","","","21,171",""
"Non Hispanic","18,158","95.48%","89.66%","2,093","97.21%","10.34%","20,251","95.65%"
"Hispanic","860","4.52%","93.48%","60","2.79%","6.52%","920","4.35%"
"Total Reported","19,018","100%","89.83%","2,153","100%","10.17%","21,171","100%"
