"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,108","42.81%","83.66%","998","69.89%","16.34%","6,106","45.70%"
"Black","6,398","53.62%","94.03%","406","28.43%","5.97%","6,804","50.92%"
"Other","4",".03%","66.67%","2",".14%","33.33%","6",".04%"
"Asian","38",".32%","90.48%","4",".28%","9.52%","42",".31%"
"Unknown","1",".01%","100.00%","0","","","1",".01%"
"Hispanic","376","3.15%","95.92%","16","1.12%","4.08%","392","2.93%"
"Native American","8",".07%","80.00%","2",".14%","20.00%","10",".07%"
"Total Reported","11,933","100%","89.31%","1,428","100%","10.69%","13,361","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","11,933","","","1,428","","","13,361",""
