"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,404","33.16%","84.91%","1,138","54.74%","15.09%","7,542","35.26%"
"Black","12,071","62.51%","93.03%","905","43.53%","6.97%","12,976","60.66%"
"Other","16",".08%","84.21%","3",".14%","15.79%","19",".09%"
"Asian","38",".20%","97.44%","1",".05%","2.56%","39",".18%"
"Unknown","1",".01%","100.00%","0","","","1",".01%"
"Hispanic","766","3.97%","96.23%","30","1.44%","3.77%","796","3.72%"
"Native American","15",".08%","88.24%","2",".10%","11.76%","17",".08%"
"Total Reported","19,311","100%","90.28%","2,079","100%","9.72%","21,390","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","19,311","","","2,079","","","21,390",""
