"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","5,801","32.20%","82.92%","1,195","54.37%","17.08%","6,996","34.61%"
"Black","11,325","62.86%","92.16%","963","43.81%","7.84%","12,288","60.79%"
"Other","15",".08%","78.95%","4",".18%","21.05%","19",".09%"
"Asian","35",".19%","100.00%","0","","","35",".17%"
"Unknown","1",".01%","100.00%","0","","","1",".01%"
"Hispanic","826","4.59%","96.38%","31","1.41%","3.62%","857","4.24%"
"Native American","12",".07%","75.00%","4",".18%","25.00%","16",".08%"
"Native Hawaiian","0","","","1",".05%","100.00%","1",".01%"
"Total Reported","18,015","100%","89.13%","2,198","100%","10.87%","20,213","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","18,015","","","2,198","","","20,213",""
"Non Hispanic","17,189","95.41%","88.80%","2,167","98.59%","11.19%","19,358","95.76%"
"Hispanic","826","4.59%","96.38%","31","1.41%","3.62%","857","4.24%"
"Total Reported","18,015","100%","89.12%","2,198","100%","10.87%","20,215","100%"
