"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,062","52.63%","93.68%","1,827","45.26%","6.32%","28,889","52.09%"
"Sex Crime","8,798","17.11%","98.47%","137","3.39%","1.53%","8,935","16.11%"
"Property","7,410","14.41%","89.55%","865","21.43%","10.45%","8,275","14.92%"
"Drug","5,244","10.20%","84.46%","965","23.90%","15.54%","6,209","11.20%"
"Habit/DUI","97",".19%","85.84%","16",".40%","14.16%","113",".20%"
"Other","2,811","5.47%","92.53%","227","5.62%","7.47%","3,038","5.48%"
"Total Reported","51,422","100%","92.72%","4,037","100%","7.28%","55,459","100%"
"Not Reported","97",,,"0",,,"97",
"Grand Total","51,519",,,"4,037",,,"55,556",
