"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent/Sex","27,691","60.69%","95.60%","1,273","44.12%","4.40%","28,964","59.71%"
"Property","8,844","19.38%","90.55%","923","31.99%","9.45%","9,767","20.13%"
"Drug","6,822","14.95%","92.26%","572","19.83%","7.74%","7,394","15.24%"
"Other","2,267","4.97%","95.09%","117","4.06%","4.91%","2,384","4.91%"
"Total Reported","45,624","100%","94.05%","2,885","100%","5.95%","48,509","100%"
"Not Reported","232",,,"8",,,"240",
"Grand Total","45,856",,,"2,893",,,"48,749",
