"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,769","56.65%","93.07%","2,069","50.81%","6.93%","29,838","56.2%"
"Sex Crime","9,313","19.0%","98.41%","150","3.68%","1.59%","9,463","17.82%"
"Property","4,719","9.63%","87.24%","690","16.94%","12.76%","5,409","10.19%"
"Drug","3,987","8.13%","82.6%","840","20.63%","17.4%","4,827","9.09%"
"Habit/DUI","75","0.15%","87.21%","11","0.27%","12.79%","86","0.16%"
"Other","3,154","6.43%","91.0%","312","7.66%","9.0%","3,466","6.53%"
"Total Reported","49,017","100.00%","92.33%","4,072","100.00%","7.67%","53,089","100.00%"
"Not Reported","118",,,"3",,,"121",
"Grand Total","49,135",,,"4,075",,,"53,210",
