"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","27,514","56.56%","93.14%","2,025","51.46%","6.86%","29,539","56.18%"
"Sex Crime","9,175","18.86%","98.47%","143","3.63%","1.53%","9,318","17.72%"
"Property","4,695","9.65%","88.00%","640","16.26%","12.00%","5,335","10.15%"
"Drug","4,059","8.34%","82.70%","849","21.58%","17.30%","4,908","9.33%"
"Habit/DUI","73",".15%","83.91%","14",".36%","16.09%","87",".17%"
"Other","3,129","6.43%","92.22%","264","6.71%","7.78%","3,393","6.45%"
"Total Reported","48,645","100%","92.52%","3,935","100%","7.48%","52,580","100%"
"Not Reported","118",,,"2",,,"120",
"Grand Total","48,763",,,"3,937",,,"52,700",
