"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,437","47.33%","94.35%","1,464","38.78%","5.65%","25,901","46.75%"
"Sex Crime","7,935","15.37%","98.67%","107","2.83%","1.33%","8,042","14.51%"
"Property","10,254","19.86%","88.90%","1,280","33.91%","11.10%","11,534","20.82%"
"Drug","6,815","13.20%","89.65%","787","20.85%","10.35%","7,602","13.72%"
"Habit/DUI","106",".21%","93.81%","7",".19%","6.19%","113",".20%"
"Other","2,083","4.03%","94.13%","130","3.44%","5.87%","2,213","3.99%"
"Total Reported","51,630","100%","93.19%","3,775","100%","6.81%","55,405","100%"
"Not Reported","313",,,"14",,,"327",
"Grand Total","51,943",,,"3,789",,,"55,732",
