"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,753","56.13%","93.51%","1,856","49.63%","6.49%","28,609","55.66%"
"Sex Crime","9,061","19.01%","98.42%","145","3.88%","1.58%","9,206","17.91%"
"Property","4,862","10.20%","88.42%","637","17.03%","11.58%","5,499","10.70%"
"Drug","4,030","8.46%","83.14%","817","21.84%","16.86%","4,847","9.43%"
"Habit/DUI","71",".15%","86.59%","11",".29%","13.41%","82",".16%"
"Other","2,886","6.06%","91.33%","274","7.33%","8.67%","3,160","6.15%"
"Total Reported","47,663","100%","92.72%","3,740","100%","7.28%","51,403","100%"
"Not Reported","118",,,"2",,,"120",
"Grand Total","47,781",,,"3,742",,,"51,523",
