"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,136","55.47%","93.69%","1,692","50.30%","6.31%","26,828","55.12%"
"Sex Crime","8,504","18.77%","98.44%","135","4.01%","1.56%","8,639","17.75%"
"Property","5,019","11.08%","89.74%","574","17.06%","10.26%","5,593","11.49%"
"Drug","3,975","8.77%","84.72%","717","21.31%","15.28%","4,692","9.64%"
"Habit/DUI","79",".17%","90.80%","8",".24%","9.20%","87",".18%"
"Other","2,599","5.74%","91.61%","238","7.07%","8.39%","2,837","5.83%"
"Total Reported","45,312","100%","93.09%","3,364","100%","6.91%","48,676","100%"
"Not Reported","107",,,"2",,,"109",
"Grand Total","45,419",,,"3,366",,,"48,785",
