"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,599","52.31%","93.83%","1,748","44.44%","6.17%","28,347","51.75%"
"Sex Crime","8,620","16.95%","98.48%","133","3.38%","1.52%","8,753","15.98%"
"Property","7,680","15.10%","89.13%","937","23.82%","10.87%","8,617","15.73%"
"Drug","5,298","10.42%","85.85%","873","22.20%","14.15%","6,171","11.26%"
"Habit/DUI","100",".20%","89.29%","12",".31%","10.71%","112",".20%"
"Other","2,551","5.02%","91.73%","230","5.85%","8.27%","2,781","5.08%"
"Total Reported","50,848","100%","92.82%","3,933","100%","7.18%","54,781","100%"
"Not Reported","89",,,"0",,,"89",
"Grand Total","50,937",,,"3,933",,,"54,870",
