"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","26,896","56.25%","93.47%","1,880","49.72%","6.53%","28,776","55.77%"
"Sex Crime","9,087","19.00%","98.42%","146","3.86%","1.58%","9,233","17.89%"
"Property","4,784","10.00%","88.33%","632","16.72%","11.67%","5,416","10.50%"
"Drug","4,077","8.53%","82.95%","838","22.16%","17.05%","4,915","9.53%"
"Habit/DUI","66",".14%","84.62%","12",".32%","15.38%","78",".15%"
"Other","2,907","6.08%","91.42%","273","7.22%","8.58%","3,180","6.16%"
"Total Reported","47,817","100%","92.67%","3,781","100%","7.33%","51,598","100%"
"Not Reported","112",,,"2",,,"114",
"Grand Total","47,929",,,"3,783",,,"51,712",
