"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,438","54.79%","93.86%","1,665","50.02%","6.14%","27,103","54.48%"
"Sex Crime","8,306","17.89%","98.49%","127","3.81%","1.51%","8,433","16.95%"
"Property","5,969","12.86%","90.49%","627","18.83%","9.51%","6,596","13.26%"
"Drug","4,318","9.30%","85.64%","724","21.75%","14.36%","5,042","10.13%"
"Habit/DUI","78",".17%","88.64%","10",".30%","11.36%","88",".18%"
"Other","2,315","4.99%","92.93%","176","5.29%","7.07%","2,491","5.01%"
"Total Reported","46,424","100%","93.31%","3,329","100%","6.69%","49,753","100%"
"Not Reported","100",,,"1",,,"101",
"Grand Total","46,524",,,"3,330",,,"49,854",
