"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","25,088","46.97%","94.22%","1,538","39.58%","5.78%","26,626","46.46%"
"Sex Crime","8,128","15.22%","98.60%","115","2.96%","1.40%","8,243","14.38%"
"Property","10,920","20.44%","89.50%","1,281","32.96%","10.50%","12,201","21.29%"
"Drug","7,005","13.11%","89.73%","802","20.64%","10.27%","7,807","13.62%"
"Habit/DUI","112",".21%","92.56%","9",".23%","7.44%","121",".21%"
"Other","2,165","4.05%","93.89%","141","3.63%","6.11%","2,306","4.02%"
"Total Reported","53,418","100%","93.22%","3,886","100%","6.78%","57,304","100%"
"Not Reported","243",,,"19",,,"262",
"Grand Total","53,661",,,"3,905",,,"57,566",
