"Crime Categories","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Violent","24,261","55.45%","93.97%","1,556","51.35%","6.03%","25,817","55.18%"
"Sex Crime","8,021","18.33%","98.48%","124","4.09%","1.52%","8,145","17.41%"
"Property","5,264","12.03%","91.10%","514","16.96%","8.90%","5,778","12.35%"
"Drug","3,979","9.09%","85.85%","656","21.65%","14.15%","4,635","9.91%"
"Habit/DUI","66",".15%","85.71%","11",".36%","14.29%","77",".16%"
"Other","2,164","4.95%","92.76%","169","5.58%","7.24%","2,333","4.99%"
"Total Reported","43,755","100%","93.52%","3,030","100%","6.48%","46,785","100%"
"Not Reported","105",,,"2",,,"107",
"Grand Total","43,860",,,"3,032",,,"46,892",
