report,violent_sex,violent_sex_m,violent_sex_f,violent,violent_m,violent_f,violent_p,sex_crime,sex_crime_m,sex_crime_f,sex_crime_p,property,property_m,property_f,property_p,drug,drug_m,drug_f,drug_p,habit_dui,habit_dui_m,habit_dui_f,habit_dui_p,other_category,other_category_m,other_category_f,other_category_p,total_reported_by_category,total_reported_by_category_m,total_reported_by_category_f,primary_offense_category_page_no
2005-07,28843,27571,1272,,,,,,,,,9684,8851,833,20.23%,7045,6565,480,14.72%,,,,,2299,2194,105,4.80%,47871,45181,2690,62
2005-08,28870,27598,1272,,,,,,,,,9650,8803,847,20.17%,7048,6554,494,14.73%,,,,,2280,2171,109,4.77%,47848,45126,2722,70
2005-09,28724,27457,1267,,,,,,,,,9601,8733,868,20.14%,7066,6561,505,14.82%,,,,,2280,2169,111,4.78%,47671,44920,2751,72
2005-10,28632,27375,1257,,,,,,,,,9425,8555,870,19.90%,7013,6497,516,14.81%,,,,,2294,2180,114,4.84%,47364,44607,2757,73
2005-11,28830,27561,1269,,,,,,,,,9614,8723,891,20.00%,7262,6720,542,15.11%,,,,,2364,2245,119,4.92%,48070,45249,2821,73
2005-12,28944,27678,1266,,,,,,,,,9794,8884,910,20.21%,7347,6804,543,15.16%,,,,,2376,2262,114,4.90%,48461,45628,2833,71
2006-01,28964,27691,1273,,,,,,,,,9767,8844,923,20.13%,7394,6822,572,15.24%,,,,,2384,2267,117,4.91%,48509,45624,2885,72
2006-02,,,,22140,20931,1209,45.31%,6978,6884,94,14.28%,9885,8877,1008,20.23%,7474,6850,624,15.29%,233,225,8,0.48%,2157,2049,108,4.41%,48867,45816,3051,70
2006-03,,,,22289,21047,1242,45.09%,6988,6895,93,14.14%,10110,9018,1092,20.45%,7579,6882,697,15.33%,224,216,8,0.45%,2245,2136,109,4.54%,49435,46194,3241,71
2006-04,,,,22252,21018,1234,45.05%,7048,6959,89,14.27%,10067,8977,1090,20.38%,7560,6831,729,15.31%,204,198,6,0.41%,2261,2146,115,4.58%,49392,46129,3263,69
2006-05,,,,22404,21158,1246,44.65%,7089,7000,89,14.13%,10237,9163,1074,20.40%,7922,7169,753,15.79%,209,203,6,0.42%,2320,2209,111,4.62%,50181,46902,3279,69
2006-06,,,,22706,21448,1258,44.05%,7146,7055,91,13.86%,10647,9498,1149,20.65%,8411,7614,797,16.32%,205,199,6,0.40%,2434,2310,124,4.72%,51549,48124,3425,68
2006-07,,,,22682,21413,1269,44.00%,7160,7067,93,13.89%,10630,9481,1149,20.62%,8405,7583,822,16.31%,204,198,6,0.40%,2465,2332,133,4.78%,51546,48074,3472,70
2006-08,,,,22396,21142,1254,44.09%,7142,7048,94,14.06%,10427,9310,1117,20.53%,8191,7377,814,16.12%,191,186,5,0.38%,2452,2322,130,4.83%,50799,47385,3414,71
2006-09,,,,22499,21230,1269,43.90%,7198,7102,96,14.04%,10469,9342,1127,20.43%,8445,7622,823,16.48%,173,169,4,0.34%,2468,2341,127,4.82%,51252,47806,3446,71
2006-10,,,,22502,21223,1279,43.88%,7209,7113,96,14.06%,10484,9363,1121,20.44%,8435,7629,806,16.45%,173,168,5,0.34%,2483,2356,127,4.84%,51286,47852,3434,71
2006-11,,,,22389,21123,1266,44.22%,7192,7093,99,14.20%,10241,9158,1083,20.23%,8222,7448,774,16.24%,172,166,6,0.34%,2418,2299,119,4.78%,50634,47287,3347,71
2006-12,,,,22538,21268,1270,43.78%,7272,7176,96,14.13%,10412,9308,1104,20.23%,8593,7771,822,16.69%,180,173,7,0.35%,2480,2359,121,4.82%,51475,48055,3420,69
2007-01,,,,22370,21109,1261,43.78%,7261,7162,99,14.21%,10241,9127,1114,20.04%,8619,7798,821,16.87%,177,170,7,0.35%,2425,2306,119,4.75%,51093,47672,3421,70
2007-02,,,,22257,20997,1260,43.86%,7236,7141,95,14.26%,10159,9049,1110,20.02%,8551,7745,806,16.85%,178,172,6,0.35%,2365,2244,121,4.66%,50746,47348,3398,70
2007-03,,,,22303,21043,1260,43.80%,7218,7122,96,14.18%,10196,9070,1126,20.02%,8648,7825,823,16.98%,180,173,7,0.35%,2372,2255,117,4.66%,50917,47488,3429,71
2007-04,,,,22264,21006,1258,43.91%,7187,7091,96,14.17%,10099,8997,1102,19.92%,8635,7819,816,17.03%,169,161,8,0.33%,2351,2234,117,4.64%,50705,47308,3397,71
2007-05,,,,22126,20872,1254,43.92%,7179,7081,98,14.25%,10001,8912,1089,19.85%,8599,7795,804,17.07%,166,158,8,0.33%,2303,2186,117,4.57%,50374,47004,3370,72
2007-06,,,,22110,20875,1235,43.79%,7172,7074,98,14.20%,10032,8958,1074,19.87%,8693,7883,810,17.22%,163,154,9,0.32%,2325,2218,107,4.60%,50495,47162,3333,72
2007-07,,,,22094,20870,1224,43.86%,7159,7066,93,14.21%,9978,8918,1060,19.81%,8680,7876,804,17.23%,162,154,8,0.32%,2302,2193,109,4.57%,50375,47077,3298,72
2007-08,,,,22145,20926,1219,43.80%,7145,7050,95,14.13%,9989,8908,1081,19.76%,8795,7947,848,17.39%,156,145,11,0.31%,2333,2211,122,4.61%,50563,47187,3376,72
2007-09,,,,22315,21083,1232,43.68%,7204,7106,98,14.10%,10077,9000,1077,19.73%,8977,8142,835,17.57%,153,144,9,0.30%,2361,2236,125,4.62%,51087,47711,3376,72
2007-10,,,,22298,21059,1239,43.67%,7221,7125,96,14.14%,9994,8913,1081,19.57%,9026,8196,830,17.68%,154,145,9,0.30%,2364,2234,130,4.63%,51057,47672,3385,72
2007-11,,,,22495,21249,1246,43.43%,7317,7218,99,14.13%,10227,9149,1078,19.75%,9184,8369,815,17.73%,153,146,7,0.30%,2415,2276,139,4.66%,51791,48407,3384,72
2007-12,,,,23135,21859,1276,42.73%,7631,7528,103,14.09%,10874,9754,1120,20.08%,9759,8880,879,18.02%,166,159,7,0.31%,2580,2436,144,4.76%,54145,50616,3529,72
2008-01,,,,23174,21889,1285,42.77%,7656,7555,101,14.13%,10892,9753,1139,20.10%,9718,8837,881,17.94%,160,152,8,0.30%,2577,2428,149,4.76%,54177,50614,3563,72
2008-02,,,,23194,21930,1264,42.80%,7688,7588,100,14.19%,10876,9763,1113,20.07%,9674,8832,842,17.85%,161,152,9,0.30%,2596,2452,144,4.79%,54189,50717,3472,72
2008-03,,,,23203,21939,1264,42.78%,7709,7606,103,14.21%,10931,9807,1124,20.15%,9644,8809,835,17.78%,163,152,11,0.30%,2590,2441,149,4.78%,54240,50754,3486,72
2008-04,,,,23248,21978,1270,42.85%,7730,7623,107,14.25%,10917,9803,1114,20.12%,9588,8767,821,17.67%,159,149,10,0.29%,2618,2478,140,4.82%,54260,50798,3462,72
2008-05,,,,23319,22038,1281,43.02%,7742,7633,109,14.28%,10850,9703,1147,20.02%,9561,8723,838,17.64%,168,158,10,0.31%,2566,2429,137,4.73%,54206,50684,3522,72
2008-06,,,,23298,22003,1295,43.20%,7731,7622,109,14.34%,10795,9630,1165,20.02%,9376,8541,835,17.39%,167,157,10,0.31%,2560,2420,140,4.75%,53927,50373,3554,72
2008-07,,,,23254,21954,1300,43.49%,7709,7600,109,14.42%,10604,9436,1168,19.83%,9225,8363,862,17.25%,165,156,9,0.31%,2509,2363,146,4.69%,53466,49872,3594,72
2008-08,,,,23257,21953,1304,43.61%,7684,7573,111,14.41%,10533,9350,1183,19.75%,9214,8330,884,17.28%,164,155,9,0.31%,2479,2334,145,4.65%,53331,49695,3636,72
2008-09,,,,23233,21909,1324,43.85%,7676,7564,112,14.49%,10398,9218,1180,19.63%,9083,8184,899,17.15%,155,146,9,0.29%,2432,2287,145,4.59%,52977,49308,3669,72
2008-10,,,,23241,21920,1321,43.76%,7680,7567,113,14.46%,10477,9282,1195,19.73%,9121,8231,890,17.17%,148,140,8,0.28%,2448,2307,141,4.61%,53115,49447,3668,72
