"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","477","0.96%","93.16%","35","0.87%","6.84%","512","0.96%"
"1.1 - 2","589","1.19%","91.04%","58","1.44%","8.96%","647","1.21%"
"2.1 - 3","806","1.63%","86.02%","131","3.26%","13.98%","937","1.75%"
"3.1 - 4","748","1.51%","88.94%","93","2.32%","11.06%","841","1.57%"
"4.1 - 5","1,453","2.93%","88.92%","181","4.51%","11.08%","1,634","3.05%"
"5.1 - 6","834","1.68%","89.48%","98","2.44%","10.52%","932","1.74%"
"6.1 - 7","868","1.75%","92.83%","67","1.67%","7.17%","935","1.74%"
"7.1 - 8","913","1.84%","91.03%","90","2.24%","8.97%","1,003","1.87%"
"8.1 - 9","1,151","2.32%","92.75%","90","2.24%","7.25%","1,241","2.32%"
"9.1 - 10","2,851","5.75%","87.97%","390","9.71%","12.03%","3,241","6.05%"
"10.1 - 12","1,850","3.73%","91.99%","161","4.01%","8.01%","2,011","3.75%"
"12.1 - 15","4,237","8.55%","91.1%","414","10.31%","8.9%","4,651","8.68%"
"15.1 - 20","8,934","18.02%","92.47%","727","18.1%","7.53%","9,661","18.03%"
"20.1 - Over","13,862","27.96%","93.58%","951","23.68%","6.42%","14,813","27.64%"
"Life","7,609","15.35%","94.57%","437","10.88%","5.43%","8,046","15.01%"
"Life Without Parole","2,313","4.67%","96.25%","90","2.24%","3.75%","2,403","4.48%"
"Death","33","0.07%","97.06%","1","0.02%","2.94%","34","0.06%"
"Youthful Offenders","46","0.09%","95.83%","2","0.05%","4.17%","48","0.09%"
"Total Reported","49,574","100.00%","92.51%","4,016","100.00%","7.49%","53,590","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,574","","","4,016","","","53,590",""
