"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","473","0.96%","93.85%","31","0.77%","6.15%","504","0.94%"
"1.1 - 2","576","1.16%","91.28%","55","1.37%","8.72%","631","1.18%"
"2.1 - 3","799","1.61%","85.36%","137","3.42%","14.64%","936","1.75%"
"3.1 - 4","745","1.51%","88.8%","94","2.35%","11.2%","839","1.57%"
"4.1 - 5","1,473","2.98%","89.16%","179","4.47%","10.84%","1,652","3.09%"
"5.1 - 6","825","1.67%","89.48%","97","2.42%","10.52%","922","1.72%"
"6.1 - 7","855","1.73%","92.23%","72","1.8%","7.77%","927","1.73%"
"7.1 - 8","926","1.87%","91.59%","85","2.12%","8.41%","1,011","1.89%"
"8.1 - 9","1,138","2.3%","92.75%","89","2.22%","7.25%","1,227","2.29%"
"9.1 - 10","2,877","5.81%","87.98%","393","9.81%","12.02%","3,270","6.11%"
"10.1 - 12","1,849","3.74%","91.85%","164","4.09%","8.15%","2,013","3.76%"
"12.1 - 15","4,236","8.56%","91.23%","407","10.16%","8.77%","4,643","8.68%"
"15.1 - 20","8,931","18.04%","92.4%","735","18.35%","7.6%","9,666","18.07%"
"20.1 - Over","13,812","27.91%","93.64%","938","23.41%","6.36%","14,750","27.57%"
"Life","7,602","15.36%","94.56%","437","10.91%","5.44%","8,039","15.03%"
"Life Without Parole","2,298","4.64%","96.23%","90","2.25%","3.77%","2,388","4.46%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","47","0.09%","95.92%","2","0.05%","4.08%","49","0.09%"
"Total Reported","49,494","100.00%","92.51%","4,006","100.00%","7.49%","53,500","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,494","","","4,006","","","53,500",""
