"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","419","0.93%","93.53%","29","0.91%","6.47%","448","0.92%"
"1.1 - 2","589","1.30%","91.32%","56","1.75%","8.68%","645","1.33%"
"2.1 - 3","895","1.98%","89.14%","109","3.41%","10.86%","1,004","2.07%"
"3.1 - 4","786","1.74%","90.55%","82","2.57%","9.45%","868","1.79%"
"4.1 - 5","1,382","3.05%","90.56%","144","4.51%","9.44%","1,526","3.15%"
"5.1 - 6","879","1.94%","92.14%","75","2.35%","7.86%","954","1.97%"
"6.1 - 7","840","1.86%","92.11%","72","2.26%","7.89%","912","1.88%"
"7.1 - 8","931","2.06%","92.45%","76","2.38%","7.55%","1,007","2.08%"
"8.1 - 9","962","2.13%","92.95%","73","2.29%","7.05%","1,035","2.14%"
"9.1 - 10","2,770","6.12%","89.76%","316","9.90%","10.24%","3,086","6.37%"
"10.1 - 12","1,810","4.00%","91.41%","170","5.33%","8.59%","1,980","4.09%"
"12.1 - 15","4,176","9.23%","92.80%","324","10.15%","7.20%","4,500","9.29%"
"15.1 - 20","8,515","18.82%","93.63%","579","18.14%","6.37%","9,094","18.77%"
"20.1 - Over","11,312","25.00%","94.50%","659","20.65%","5.50%","11,971","24.71%"
"Life","7,285","16.10%","95.18%","369","11.56%","4.82%","7,654","15.80%"
"Life Without Parole","1,589","3.51%","96.48%","58","1.82%","3.52%","1,647","3.40%"
"Death","71","0.16%","98.61%","1","0.03%","1.39%","72","0.15%"
"Youthful Offenders","36","0.08%","100.00%","0","0.00%","0.00%","36","0.07%"
"Total Reported","45,247","100%","93.41%","3,192","100.0%","6.59%","48,439","100%"
"Not Reported","0","","","0","","","0",""
"Grand Total","45,247","","","3,192","","","48,439",""
