"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","483","0.97%","92.88%","37","0.92%","7.12%","520","0.97%"
"1.1 - 2","597","1.2%","91.42%","56","1.4%","8.58%","653","1.22%"
"2.1 - 3","817","1.65%","85.46%","139","3.47%","14.54%","956","1.78%"
"3.1 - 4","764","1.54%","88.84%","96","2.4%","11.16%","860","1.61%"
"4.1 - 5","1,477","2.98%","89.46%","174","4.34%","10.54%","1,651","3.08%"
"5.1 - 6","851","1.72%","90.15%","93","2.32%","9.85%","944","1.76%"
"6.1 - 7","846","1.71%","91.76%","76","1.9%","8.24%","922","1.72%"
"7.1 - 8","923","1.86%","91.84%","82","2.05%","8.16%","1,005","1.88%"
"8.1 - 9","1,157","2.33%","92.71%","91","2.27%","7.29%","1,248","2.33%"
"9.1 - 10","2,907","5.87%","88.63%","373","9.31%","11.37%","3,280","6.12%"
"10.1 - 12","1,867","3.77%","91.88%","165","4.12%","8.12%","2,032","3.79%"
"12.1 - 15","4,233","8.54%","90.86%","426","10.63%","9.14%","4,659","8.7%"
"15.1 - 20","8,932","18.02%","92.39%","736","18.36%","7.61%","9,668","18.05%"
"20.1 - Over","13,762","27.77%","93.61%","939","23.43%","6.39%","14,701","27.44%"
"Life","7,592","15.32%","94.6%","433","10.8%","5.4%","8,025","14.98%"
"Life Without Parole","2,276","4.59%","96.24%","89","2.22%","3.76%","2,365","4.41%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","47","0.09%","95.92%","2","0.05%","4.08%","49","0.09%"
"Total Reported","49,563","100.00%","92.52%","4,008","100.00%","7.48%","53,571","100.00%"
"Not Reported","0","","","0","","","0",""
"Grand Total","49,563","","","4,008","","","53,571",""
