"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","136","0.85%","95.10%","7","0.36%","4.90%","143","0.80%"
"Twenties (20-29)","5,101","32.02%","90.99%","505","25.82%","9.01%","5,606","31.34%"
"Thirties (30-39)","5,079","31.88%","87.45%","729","37.27%","12.55%","5,808","32.47%"
"Forties (40-49)","3,123","19.60%","87.75%","436","22.29%","12.25%","3,559","19.90%"
"Fifties (50-59)","1,887","11.84%","88.43%","247","12.63%","11.57%","2,134","11.93%"
"Sixties (60-69)","504","3.16%","94.74%","28","1.43%","5.26%","532","2.97%"
"Seventy + (70 and above)","102","0.64%","96.23%","4","0.20%","3.77%","106","0.59%"
"Total Reported","15,932","100%","89.07%","1,956","100%","10.93%","17,888","100%"
