"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","842","4.42%","95.79%","37","1.58%","4.21%","879","4.11%"
"Twenties (20-29)","7,478","39.28%","91.14%","727","31.02%","8.86%","8,205","38.38%"
"Thirties (30-39)","5,195","27.29%","87.55%","739","31.53%","12.45%","5,934","27.75%"
"Forties (40-49)","3,756","19.73%","85.58%","633","27.01%","14.42%","4,389","20.53%"
"Fifties (50-59)","1,494","7.85%","88.45%","195","8.32%","11.55%","1,689","7.90%"
"Sixties (60-69)","235","1.23%","94.76%","13","0.55%","5.24%","248","1.16%"
"Seventy + (70 and above)","36","0.19%","100.00%","","","","36","0.17%"
"Total Reported","19,036","100%","89.04%","2,344","100%","10.96%","21,380","100%"
