"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","249","1.85%","93.26%","18","1.03%","6.74%","267","1.75%"
"Twenties (20-29)","3,696","27.45%","91.12%","360","20.52%","8.88%","4,056","26.65%"
"Thirties (30-39)","4,460","33.12%","86.72%","683","38.94%","13.28%","5,143","33.79%"
"Forties (40-49)","2,926","21.73%","86.47%","458","26.11%","13.53%","3,384","22.23%"
"Fifties (50-59)","1,536","11.41%","89.10%","188","10.72%","10.90%","1,724","11.33%"
"Sixties (60-69)","524","3.89%","92.09%","45","2.57%","7.91%","569","3.74%"
"Seventy + (70 and above)","75","0.56%","97.40%","2","0.11%","2.60%","77","0.51%"
"Total Reported","13,466","100%","88.48%","1,754","100%","11.52%","15,220","100%"
