"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","37","0.31%","94.87%","2","0.12%","5.13%","39","0.28%"
"Twenties (20-29)","2,315","19.1%","89.52%","271","16.87%","10.48%","2,586","18.84%"
"Thirties (30-39)","4,149","34.24%","87.27%","605","37.67%","12.73%","4,754","34.64%"
"Forties (40-49)","2,965","24.47%","87.36%","429","26.71%","12.64%","3,394","24.73%"
"Fifties (50-59)","1,670","13.78%","88.41%","219","13.64%","11.59%","1,889","13.76%"
"Sixties (60-69)","784","6.47%","92.02%","68","4.23%","7.98%","852","6.21%"
"Seventy + (70 and above)","198","1.63%","94.29%","12","0.75%","5.71%","210","1.53%"
"Total Reported","12,118","100.00%","88.30%","1,606","100.00%","11.70%","13,724","100.00%"
