"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","772","4.04%","97.72%","18","0.92%","2.28%","790","3.75%"
"Twenties (20-29)","7,303","38.23%","92.57%","586","30.02%","7.43%","7,889","37.47%"
"Thirties (30-39)","5,400","28.27%","89.57%","629","32.22%","10.43%","6,029","28.63%"
"Forties (40-49)","3,604","18.87%","87.22%","528","27.05%","12.78%","4,132","19.62%"
"Fifties (50-59)","1,707","8.94%","91.14%","166","8.50%","8.86%","1,873","8.90%"
"Sixties (60-69)","281","1.47%","92.74%","22","1.13%","7.26%","303","1.44%"
"Seventy + (70 and above)","36","0.19%","92.31%","3","0.15%","7.69%","39","0.19%"
"Total Reported","19,103","100%","90.73%","1,952","100%","9.27%","21,055","100%"
