"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","272","2.12%","94.77%","15","0.87%","5.23%","287","1.97%"
"Twenties (20-29)","3,410","26.59%","89.76%","389","22.63%","10.24%","3,799","26.13%"
"Thirties (30-39)","4,216","32.88%","86.62%","651","37.87%","13.38%","4,867","33.47%"
"Forties (40-49)","2,825","22.03%","87.38%","408","23.73%","12.62%","3,233","22.23%"
"Fifties (50-59)","1,417","11.05%","88.18%","190","11.05%","11.82%","1,607","11.05%"
"Sixties (60-69)","590","4.60%","90.49%","62","3.61%","9.51%","652","4.48%"
"Seventy + (70 and above)","92","0.72%","95.83%","4","0.23%","4.17%","96","0.66%"
"Total Reported","12,822","100%","88.18%","1,719","100%","11.82%","14,541","100%"
