"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens","715","4.16%","94.08%","45","2.13%","5.92%","760","3.94%"
"Twenties","5,956","34.66%","91.31%","567","26.80%","8.69%","6,523","33.80%"
"Thirties","4,945","28.78%","87.01%","738","34.88%","12.99%","5,683","29.45%"
"Forties","3,960","23.05%","86.48%","619","29.25%","13.52%","4,579","23.73%"
"Fifties","1,322","7.69%","90.86%","133","6.29%","9.14%","1,455","7.54%"
"Sixties","238","1.39%","95.20%","12","0.57%","4.80%","250","1.30%"
"Seventy +","46","0.27%","95.83%","2","0.09%","4.17%","48","0.25%"
"Total Reported","17,182","100%","89.04%","2,116","100%","10.96%","","19,298   100.0%"
