"Current Age","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"Teens (1-19)","175","0.92%","97.22%","5","0.24%","2.78%","180","0.85%"
"Twenties (20-29)","6,333","33.18%","92.82%","490","23.56%","7.18%","6,823","32.24%"
"Thirties (30-39)","6,027","31.58%","89.42%","713","34.28%","10.58%","6,740","31.84%"
"Forties (40-49)","3,914","20.51%","87.11%","579","27.84%","12.89%","4,493","21.23%"
"Fifties (50-59)","2,118","11.10%","89.14%","258","12.40%","10.86%","2,376","11.23%"
"Sixties (60-69)","436","2.28%","92.77%","34","1.63%","7.23%","470","2.22%"
"Seventy + (70 and above)","83","0.43%","98.81%","1","0.05%","1.19%","84","0.40%"
"Total Reported","19,086","100%","90.17%","2,080","100%","9.83%","21,166","100.0%"
