"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","431","0.94%","93.49%","30","0.85%","6.51%","461","0.93%"
"1.1 - 2","566","1.23%","89.70%","65","1.85%","10.30%","631","1.28%"
"2.1 - 3","806","1.76%","86.02%","131","3.73%","13.98%","937","1.90%"
"3.1 - 4","646","1.41%","90.86%","65","1.85%","9.14%","711","1.44%"
"4.1 - 5","1,423","3.10%","89.44%","168","4.78%","10.56%","1,591","3.22%"
"5.1 - 6","826","1.80%","89.59%","96","2.73%","10.41%","922","1.87%"
"6.1 - 7","869","1.89%","91.09%","85","2.42%","8.91%","954","1.93%"
"7.1 - 8","924","2.01%","91.39%","87","2.47%","8.61%","1,011","2.05%"
"8.1 - 9","1,096","2.39%","93.84%","72","2.05%","6.16%","1,168","2.36%"
"9.1 - 10","2,716","5.92%","89.02%","335","9.53%","10.98%","3,051","6.17%"
"10.1 - 12","1,671","3.64%","92.73%","131","3.73%","7.27%","1,802","3.65%"
"12.1 - 15","4,043","8.81%","91.45%","378","10.75%","8.55%","4,421","8.94%"
"15.1 - 20","8,501","18.52%","92.70%","669","19.03%","7.30%","9,170","18.55%"
"20.1 - Over","12,142","26.45%","94.20%","748","21.27%","5.80%","12,890","26.08%"
"Life","7,337","15.98%","95.00%","386","10.98%","5.00%","7,723","15.62%"
"Life Without Parole","1,844","4.02%","96.65%","64","1.82%","3.35%","1,908","3.86%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","35","0.08%","87.50%","5","0.14%","12.50%","40","0.08%"
"Total Reported","45,913","100%","92.89%","3,516","100.0%","7.11%","49,429","100.0%"
