"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","416","0.87%","92.65%","33","0.87%","7.35%","449","0.87%"
"1.1 - 2","548","1.14%","90.58%","57","1.51%","9.42%","605","1.17%"
"2.1 - 3","804","1.68%","85.08%","141","3.73%","14.92%","945","1.83%"
"3.1 - 4","706","1.47%","87.92%","97","2.56%","12.08%","803","1.55%"
"4.1 - 5","1,482","3.09%","91.37%","140","3.70%","8.63%","1,622","3.14%"
"5.1 - 6","812","1.69%","88.36%","107","2.83%","11.64%","919","1.78%"
"6.1 - 7","860","1.79%","90.05%","95","2.51%","9.95%","955","1.85%"
"7.1 - 8","954","1.99%","91.47%","89","2.35%","8.53%","1,043","2.02%"
"8.1 - 9","1,135","2.37%","93.42%","80","2.11%","6.58%","1,215","2.35%"
"9.1 - 10","2,921","6.09%","89.25%","352","9.30%","10.75%","3,273","6.33%"
"10.1 - 12","1,745","3.64%","92.43%","143","3.78%","7.57%","1,888","3.65%"
"12.1 - 15","4,239","8.84%","91.00%","419","11.08%","9.00%","4,658","9.01%"
"15.1 - 20","8,814","18.39%","92.50%","715","18.90%","7.50%","9,529","18.43%"
"20.1 - Over","12,855","26.82%","93.93%","830","21.94%","6.07%","13,685","26.46%"
"Life","7,526","15.70%","94.85%","409","10.81%","5.15%","7,935","15.34%"
"Life Without Parole","2,041","4.26%","96.50%","74","1.96%","3.50%","2,115","4.09%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","38","0.08%","97.44%","1","0.03%","2.56%","39","0.08%"
"Total Reported","47,929","100%","92.68%","3,783","100%","7.32%","51,712","100.0%"
