"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","458","0.93%","92.34%","38","0.93%","7.66%","496","0.93%"
"1.1 - 2","587","1.19%","91.29%","56","1.37%","8.71%","643","1.21%"
"2.1 - 3","811","1.65%","84.66%","147","3.61%","15.34%","958","1.8%"
"3.1 - 4","746","1.52%","87.76%","104","2.55%","12.24%","850","1.6%"
"4.1 - 5","1,473","3.0%","88.52%","191","4.69%","11.48%","1,664","3.13%"
"5.1 - 6","855","1.74%","88.79%","108","2.65%","11.21%","963","1.81%"
"6.1 - 7","833","1.7%","91.94%","73","1.79%","8.06%","906","1.7%"
"7.1 - 8","939","1.91%","91.43%","88","2.16%","8.57%","1,027","1.93%"
"8.1 - 9","1,126","2.29%","92.22%","95","2.33%","7.78%","1,221","2.29%"
"9.1 - 10","2,914","5.93%","88.95%","362","8.88%","11.05%","3,276","6.16%"
"10.1 - 12","1,855","3.78%","91.51%","172","4.22%","8.49%","2,027","3.81%"
"12.1 - 15","4,254","8.66%","90.88%","427","10.48%","9.12%","4,681","8.8%"
"15.1 - 20","8,859","18.03%","92.13%","757","18.58%","7.87%","9,616","18.07%"
"20.1 - Over","13,535","27.55%","93.53%","936","22.97%","6.47%","14,471","27.2%"
"Life","7,586","15.44%","94.62%","431","10.58%","5.38%","8,017","15.07%"
"Life Without Parole","2,234","4.55%","96.29%","86","2.11%","3.71%","2,320","4.36%"
"Death","32","0.07%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","38","0.08%","92.68%","3","0.07%","7.32%","41","0.08%"
"Total Reported","49,135","100.00%","92.34%","4,075","100.00%","7.66%","53,210","100.00%"
