"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","447","0.95%","93.51%","31","0.84%","6.49%","478","0.94%"
"1.1 - 2","571","1.21%","89.92%","64","1.74%","10.08%","635","1.25%"
"2.1 - 3","823","1.75%","85.02%","145","3.94%","14.98%","968","1.91%"
"3.1 - 4","684","1.46%","91.44%","64","1.74%","8.56%","748","1.48%"
"4.1 - 5","1,492","3.17%","90.10%","164","4.46%","9.90%","1,656","3.27%"
"5.1 - 6","836","1.78%","88.84%","105","2.86%","11.16%","941","1.86%"
"6.1 - 7","884","1.88%","89.66%","102","2.77%","10.34%","986","1.95%"
"7.1 - 8","926","1.97%","91.77%","83","2.26%","8.23%","1,009","1.99%"
"8.1 - 9","1,121","2.39%","93.34%","80","2.18%","6.66%","1,201","2.37%"
"9.1 - 10","2,815","5.99%","89.17%","342","9.30%","10.83%","3,157","6.23%"
"10.1 - 12","1,755","3.73%","92.13%","150","4.08%","7.87%","1,905","3.76%"
"12.1 - 15","4,185","8.90%","91.58%","385","10.47%","8.42%","4,570","9.02%"
"15.1 - 20","8,607","18.31%","92.40%","708","19.25%","7.60%","9,315","18.38%"
"20.1 - Over","12,441","26.47%","94.01%","792","21.54%","5.99%","13,233","26.11%"
"Life","7,414","15.78%","94.99%","391","10.63%","5.01%","7,805","15.40%"
"Life Without Parole","1,913","4.07%","96.66%","66","1.79%","3.34%","1,979","3.91%"
"Death","36","0.08%","97.30%","1","0.03%","2.70%","37","0.07%"
"Youthful Offenders","47","0.10%","92.16%","4","0.11%","7.84%","51","0.10%"
"Total Reported","46,997","100%","92.74%","3,677","100%","7.26%","50,674","100%"
