"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","424","0.93%","94.64%","24","0.69%","5.36%","448","0.91%"
"1.1 - 2","576","1.26%","90.14%","63","1.80%","9.86%","639","1.30%"
"2.1 - 3","788","1.72%","86.31%","125","3.57%","13.69%","913","1.85%"
"3.1 - 4","665","1.45%","90.60%","69","1.97%","9.40%","734","1.49%"
"4.1 - 5","1,426","3.11%","89.74%","163","4.66%","10.26%","1,589","3.22%"
"5.1 - 6","821","1.79%","88.76%","104","2.97%","11.24%","925","1.88%"
"6.1 - 7","866","1.89%","92.42%","71","2.03%","7.58%","937","1.90%"
"7.1 - 8","925","2.02%","91.31%","88","2.51%","8.69%","1,013","2.05%"
"8.1 - 9","1,093","2.39%","93.74%","73","2.09%","6.26%","1,166","2.37%"
"9.1 - 10","2,703","5.90%","89.03%","333","9.51%","10.97%","3,036","6.16%"
"10.1 - 12","1,671","3.65%","92.17%","142","4.06%","7.83%","1,813","3.68%"
"12.1 - 15","4,038","8.82%","91.50%","375","10.71%","8.50%","4,413","8.95%"
"15.1 - 20","8,531","18.63%","92.62%","680","19.43%","7.38%","9,211","18.68%"
"20.1 - Over","12,063","26.34%","94.21%","741","21.17%","5.79%","12,804","25.97%"
"Life","7,326","16.00%","95.07%","380","10.86%","4.93%","7,706","15.63%"
"Life Without Parole","1,811","3.95%","96.59%","64","1.83%","3.41%","1,875","3.80%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","33","0.07%","89.19%","4","0.11%","10.81%","37","0.08%"
"Total Reported","45,797","100%","92.90%","3,500","100%","7.10%","49,297","100%"
