"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","418","0.94%","93.10%","31","0.95%","6.90%","449","0.94%"
"1.1 - 2","553","1.24%","90.66%","57","1.74%","9.34%","610","1.27%"
"2.1 - 3","824","1.85%","89.76%","94","2.88%","10.24%","918","1.92%"
"3.1 - 4","737","1.65%","89.99%","82","2.51%","10.01%","819","1.71%"
"4.1 - 5","1,424","3.19%","89.11%","174","5.32%","10.89%","1,598","3.33%"
"5.1 - 6","882","1.98%","91.12%","86","2.63%","8.88%","968","2.02%"
"6.1 - 7","835","1.87%","91.46%","78","2.39%","8.54%","913","1.91%"
"7.1 - 8","954","2.14%","90.51%","100","3.06%","9.49%","1,054","2.20%"
"8.1 - 9","1,056","2.37%","93.29%","76","2.33%","6.71%","1,132","2.36%"
"9.1 - 10","2,533","5.67%","89.66%","292","8.94%","10.34%","2,825","5.90%"
"10.1 - 12","1,636","3.66%","91.96%","143","4.38%","8.04%","1,779","3.71%"
"12.1 - 15","3,905","8.75%","92.27%","327","10.01%","7.73%","4,232","8.83%"
"15.1 - 20","8,292","18.57%","93.16%","609","18.64%","6.84%","8,901","18.58%"
"20.1 - Over","11,586","25.95%","94.44%","682","20.87%","5.56%","12,268","25.60%"
"Life","7,223","16.18%","95.08%","374","11.44%","4.92%","7,597","15.85%"
"Life Without Parole","1,722","3.86%","96.69%","59","1.81%","3.31%","1,781","3.72%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","32","0.07%","91.43%","3","0.09%","8.57%","35","0.07%"
"Total Reported","44,649","100%","93.18%","3,268","100.0%","6.82%","47,917","100%"
