"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","424","0.95%","92.78%","33","1.01%","7.22%","457","0.95%"
"1.1 - 2","572","1.28%","90.79%","58","1.77%","9.21%","630","1.31%"
"2.1 - 3","812","1.82%","91.13%","79","2.42%","8.87%","891","1.86%"
"3.1 - 4","720","1.61%","90.11%","79","2.42%","9.89%","799","1.66%"
"4.1 - 5","1,433","3.20%","88.79%","181","5.53%","11.21%","1,614","3.36%"
"5.1 - 6","884","1.98%","91.23%","85","2.60%","8.77%","969","2.02%"
"6.1 - 7","853","1.91%","91.92%","75","2.29%","8.08%","928","1.93%"
"7.1 - 8","944","2.11%","91.12%","92","2.81%","8.88%","1,036","2.16%"
"8.1 - 9","1,067","2.39%","93.35%","76","2.32%","6.65%","1,143","2.38%"
"9.1 - 10","2,539","5.68%","89.65%","293","8.96%","10.35%","2,832","5.90%"
"10.1 - 12","1,615","3.61%","92.08%","139","4.25%","7.92%","1,754","3.65%"
"12.1 - 15","3,867","8.65%","91.98%","337","10.30%","8.02%","4,204","8.76%"
"15.1 - 20","8,329","18.62%","92.99%","628","19.20%","7.01%","8,957","18.66%"
"20.1 - Over","11,626","25.99%","94.47%","681","20.82%","5.53%","12,307","25.64%"
"Life","7,241","16.19%","95.11%","372","11.37%","4.89%","7,613","15.86%"
"Life Without Parole","1,729","3.87%","96.70%","59","1.80%","3.30%","1,788","3.73%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","34","0.08%","91.89%","3","0.09%","8.11%","37","0.08%"
"Total Reported","44,726","100%","93.18%","3,271","100%","6.82%","47,997","100%"
