"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","439","0.95%","94.41%","26","0.73%","5.59%","465","0.94%"
"1.1 - 2","578","1.25%","89.89%","65","1.83%","10.11%","643","1.29%"
"2.1 - 3","807","1.75%","85.76%","134","3.77%","14.24%","941","1.89%"
"3.1 - 4","675","1.46%","90.24%","73","2.05%","9.76%","748","1.51%"
"4.1 - 5","1,406","3.05%","88.99%","174","4.90%","11.01%","1,580","3.18%"
"5.1 - 6","831","1.80%","89.07%","102","2.87%","10.93%","933","1.88%"
"6.1 - 7","875","1.90%","90.96%","87","2.45%","9.04%","962","1.94%"
"7.1 - 8","920","2.00%","91.54%","85","2.39%","8.46%","1,005","2.02%"
"8.1 - 9","1,106","2.40%","93.33%","79","2.22%","6.67%","1,185","2.39%"
"9.1 - 10","2,740","5.94%","89.16%","333","9.37%","10.84%","3,073","6.19%"
"10.1 - 12","1,696","3.68%","92.88%","130","3.66%","7.12%","1,826","3.68%"
"12.1 - 15","4,089","8.87%","91.35%","387","10.89%","8.65%","4,476","9.01%"
"15.1 - 20","8,472","18.37%","92.67%","670","18.85%","7.33%","9,142","18.41%"
"20.1 - Over","12,187","26.43%","94.20%","751","21.13%","5.80%","12,938","26.05%"
"Life","7,353","15.95%","95.00%","387","10.89%","5.00%","7,740","15.58%"
"Life Without Parole","1,861","4.04%","96.68%","64","1.80%","3.32%","1,925","3.88%"
"Death","37","0.08%","97.37%","1","0.03%","2.63%","38","0.08%"
"Youthful Offenders","39","0.08%","86.67%","6","0.17%","13.33%","45","0.09%"
"Total Reported","46,111","100%","92.84%","3,554","100%","7.16%","49,665","100.0%"
