"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","411","0.86%","90.33%","44","1.16%","9.67%","455","0.88%"
"1.1 - 2","538","1.13%","90.88%","54","1.42%","9.12%","592","1.15%"
"2.1 - 3","821","1.72%","85.17%","143","3.77%","14.83%","964","1.87%"
"3.1 - 4","693","1.45%","90.00%","77","2.03%","10.00%","770","1.50%"
"4.1 - 5","1,474","3.09%","90.15%","161","4.24%","9.85%","1,635","3.18%"
"5.1 - 6","817","1.71%","87.85%","113","2.98%","12.15%","930","1.81%"
"6.1 - 7","848","1.78%","88.52%","110","2.90%","11.48%","958","1.86%"
"7.1 - 8","941","1.97%","92.25%","79","2.08%","7.75%","1,020","1.98%"
"8.1 - 9","1,123","2.36%","93.66%","76","2.00%","6.34%","1,199","2.33%"
"9.1 - 10","2,900","6.09%","89.31%","347","9.15%","10.69%","3,247","6.31%"
"10.1 - 12","1,755","3.68%","91.98%","153","4.03%","8.02%","1,908","3.71%"
"12.1 - 15","4,265","8.95%","91.19%","412","10.86%","8.81%","4,677","9.09%"
"15.1 - 20","8,774","18.41%","92.43%","719","18.95%","7.57%","9,493","18.45%"
"20.1 - Over","12,735","26.73%","93.87%","832","21.93%","6.13%","13,567","26.37%"
"Life","7,492","15.72%","94.93%","400","10.54%","5.07%","7,892","15.34%"
"Life Without Parole","1,988","4.17%","96.55%","71","1.87%","3.45%","2,059","4.00%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","41","0.09%","95.35%","2","0.05%","4.65%","43","0.08%"
"Total Reported","47,649","100%","92.62%","3,794","100%","7.38%","51,443","100%"
