"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","12,456","23.16%","95.12%","639","16.33%","4.88%","13,095","22.70%"
"1.1 - 2","1,590","2.96%","88.68%","203","5.19%","11.32%","1,793","3.11%"
"2.1 - 3","2,048","3.81%","85.73%","341","8.71%","14.27%","2,389","4.14%"
"3.1 - 4","1,849","3.44%","88.60%","238","6.08%","11.40%","2,087","3.62%"
"4.1 - 5","3,430","6.38%","89.70%","394","10.07%","10.30%","3,824","6.63%"
"5.1 - 6","1,612","3.00%","87.61%","228","5.83%","12.39%","1,840","3.19%"
"6.1 - 7","1,671","3.11%","90.32%","179","4.57%","9.68%","1,850","3.21%"
"7.1 - 8","1,754","3.26%","90.55%","183","4.68%","9.45%","1,937","3.36%"
"8.1 - 9","1,351","2.51%","92.41%","111","2.84%","7.59%","1,462","2.53%"
"9.1 - 10","4,796","8.92%","92.91%","366","9.35%","7.09%","5,162","8.95%"
"10.1 - 12","2,581","4.80%","93.41%","182","4.65%","6.59%","2,763","4.79%"
"12.1 - 15","3,674","6.83%","94.79%","202","5.16%","5.21%","3,876","6.72%"
"15.1 - 20","3,680","6.84%","94.99%","194","4.96%","5.01%","3,874","6.72%"
"20.1 - Over","3,563","6.63%","96.87%","115","2.94%","3.13%","3,678","6.38%"
"Life","6,868","12.77%","95.53%","321","8.20%","4.47%","7,189","12.46%"
"Life Without Parole","742","1.38%","97.89%","16","0.41%","2.11%","758","1.31%"
"Death","94","0.17%","98.95%","1","0.03%","1.05%","95","0.16%"
"Youthful Offenders","16","0.03%","100.00%","0","0.00%","0.00%","16","0.03%"
"Total Reported","53,775","100%","93.22%","3,913","100%","6.78%","57,688","100.0%"
