"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","430","0.90%","92.67%","34","0.89%","7.33%","464","0.90%"
"1.1 - 2","560","1.17%","91.35%","53","1.39%","8.65%","613","1.18%"
"2.1 - 3","799","1.67%","86.10%","129","3.38%","13.90%","928","1.79%"
"3.1 - 4","706","1.47%","88.58%","91","2.39%","11.42%","797","1.54%"
"4.1 - 5","1,501","3.13%","91.19%","145","3.80%","8.81%","1,646","3.18%"
"5.1 - 6","806","1.68%","88.86%","101","2.65%","11.14%","907","1.75%"
"6.1 - 7","847","1.77%","90.11%","93","2.44%","9.89%","940","1.81%"
"7.1 - 8","954","1.99%","92.08%","82","2.15%","7.92%","1,036","2.00%"
"8.1 - 9","1,102","2.30%","92.45%","90","2.36%","7.55%","1,192","2.30%"
"9.1 - 10","2,906","6.06%","89.17%","353","9.26%","10.83%","3,259","6.29%"
"10.1 - 12","1,710","3.56%","92.13%","146","3.83%","7.87%","1,856","3.58%"
"12.1 - 15","4,220","8.79%","91.03%","416","10.92%","8.97%","4,636","8.95%"
"15.1 - 20","8,754","18.24%","92.30%","730","19.16%","7.70%","9,484","18.31%"
"20.1 - Over","12,991","27.07%","93.87%","849","22.28%","6.13%","13,840","26.72%"
"Life","7,538","15.71%","94.72%","420","11.02%","5.28%","7,958","15.36%"
"Life Without Parole","2,085","4.35%","96.44%","77","2.02%","3.56%","2,162","4.17%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","43","0.09%","97.73%","1","0.03%","2.27%","44","0.08%"
"Total Reported","47,985","100%","92.64%","3,811","100%","7.36%","51,796","100%"
