"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","458","0.93%","92.53%","37","0.91%","7.47%","495","0.93%"
"1.1 - 2","584","1.18%","91.54%","54","1.32%","8.46%","638","1.19%"
"2.1 - 3","820","1.66%","84.97%","145","3.55%","15.03%","965","1.81%"
"3.1 - 4","737","1.49%","87.84%","102","2.5%","12.16%","839","1.57%"
"4.1 - 5","1,498","3.04%","88.8%","189","4.63%","11.2%","1,687","3.16%"
"5.1 - 6","864","1.75%","89.07%","106","2.6%","10.93%","970","1.82%"
"6.1 - 7","842","1.71%","92.22%","71","1.74%","7.78%","913","1.71%"
"7.1 - 8","937","1.9%","90.88%","94","2.3%","9.12%","1,031","1.93%"
"8.1 - 9","1,136","2.3%","91.61%","104","2.55%","8.39%","1,240","2.32%"
"9.1 - 10","2,944","5.97%","88.67%","376","9.21%","11.33%","3,320","6.21%"
"10.1 - 12","1,874","3.8%","91.55%","173","4.24%","8.45%","2,047","3.83%"
"12.1 - 15","4,277","8.67%","90.96%","425","10.41%","9.04%","4,702","8.8%"
"15.1 - 20","8,917","18.07%","92.28%","746","18.27%","7.72%","9,663","18.09%"
"20.1 - Over","13,566","27.49%","93.52%","940","23.02%","6.48%","14,506","27.15%"
"Life","7,593","15.39%","94.62%","432","10.58%","5.38%","8,025","15.02%"
"Life Without Parole","2,228","4.51%","96.28%","86","2.11%","3.72%","2,314","4.33%"
"Death","32","0.06%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","40","0.08%","95.24%","2","0.05%","4.76%","42","0.08%"
"Total Reported","49,347","100.00%","92.36%","4,083","100.00%","7.64%","53,430","100.00%"
