"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","2,274","4.58%","93.43%","160","4.44%","6.57%","2,434","4.57%"
"1.1 - 2","890","1.79%","88.03%","121","3.36%","11.97%","1,011","1.90%"
"2.1 - 3","1,188","2.39%","88.20%","159","4.41%","11.80%","1,347","2.53%"
"3.1 - 4","1,034","2.08%","89.83%","117","3.25%","10.17%","1,151","2.16%"
"4.1 - 5","1,876","3.78%","90.63%","194","5.38%","9.37%","2,070","3.89%"
"5.1 - 6","926","1.87%","90.43%","98","2.72%","9.57%","1,024","1.92%"
"6.1 - 7","1,075","2.17%","93.07%","80","2.22%","6.93%","1,155","2.17%"
"7.1 - 8","1,216","2.45%","92.05%","105","2.91%","7.95%","1,321","2.48%"
"8.1 - 9","1,774","3.58%","93.47%","124","3.44%","6.53%","1,898","3.57%"
"9.1 - 10","4,166","8.40%","89.34%","497","13.79%","10.66%","4,663","8.76%"
"10.1 - 12","1,670","3.37%","92.27%","140","3.88%","7.73%","1,810","3.40%"
"12.1 - 15","5,028","10.13%","92.07%","433","12.01%","7.93%","5,461","10.26%"
"15.1 - 20","9,622","19.39%","94.42%","569","15.78%","5.58%","10,191","19.15%"
"20.1 - Over","8,439","17.01%","95.47%","400","11.10%","4.53%","8,839","16.61%"
"Life","7,082","14.27%","95.07%","367","10.18%","4.93%","7,449","14.00%"
"Life Without Parole","1,122","2.26%","96.89%","36","1.00%","3.11%","1,158","2.18%"
"Death","153","0.31%","100.00%","0","0.00%","0.00%","153","0.29%"
"Youthful Offenders","80","0.16%","94.12%","5","0.14%","5.88%","85","0.16%"
"Total Reported","49,615","100%","93.23%","3,605","100.0%","6.77%","53,220","100%"
