"Prison Sentence In Years","Count","Col%","Row%","Count","Col%","Row%","Total","Col%"
"0 - 1","465","0.94%","91.36%","44","1.08%","8.64%","509","0.96%"
"1.1 - 2","592","1.2%","91.08%","58","1.43%","8.92%","650","1.22%"
"2.1 - 3","816","1.66%","84.38%","151","3.72%","15.62%","967","1.81%"
"3.1 - 4","753","1.53%","87.97%","103","2.54%","12.03%","856","1.61%"
"4.1 - 5","1,475","3.0%","89.02%","182","4.48%","10.98%","1,657","3.11%"
"5.1 - 6","853","1.73%","89.7%","98","2.41%","10.3%","951","1.78%"
"6.1 - 7","817","1.66%","91.39%","77","1.9%","8.61%","894","1.68%"
"7.1 - 8","941","1.91%","91.45%","88","2.17%","8.55%","1,029","1.93%"
"8.1 - 9","1,136","2.31%","92.28%","95","2.34%","7.72%","1,231","2.31%"
"9.1 - 10","2,913","5.92%","89.0%","360","8.86%","11.0%","3,273","6.14%"
"10.1 - 12","1,849","3.76%","91.63%","169","4.16%","8.37%","2,018","3.79%"
"12.1 - 15","4,232","8.6%","90.83%","427","10.51%","9.17%","4,659","8.74%"
"15.1 - 20","8,863","18.01%","92.25%","745","18.34%","7.75%","9,608","18.03%"
"20.1 - Over","13,607","27.65%","93.54%","940","23.14%","6.46%","14,547","27.3%"
"Life","7,590","15.42%","94.6%","433","10.66%","5.4%","8,023","15.06%"
"Life Without Parole","2,249","4.57%","96.28%","87","2.14%","3.72%","2,336","4.38%"
"Death","32","0.07%","96.97%","1","0.02%","3.03%","33","0.06%"
"Youthful Offenders","35","0.07%","89.74%","4","0.1%","10.26%","39","0.07%"
"Total Reported","49,218","100.00%","92.38%","4,062","100.00%","7.62%","53,280","100.00%"
