"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","437","0.91%","92.78%","34","0.89%","7.22%","471","0.91%"
"1.1 - 2","548","1.14%","91.49%","51","1.33%","8.51%","599","1.15%"
"2.1 - 3","802","1.67%","86.42%","126","3.28%","13.58%","928","1.79%"
"3.1 - 4","703","1.46%","88.99%","87","2.27%","11.01%","790","1.52%"
"4.1 - 5","1,482","3.09%","91.03%","146","3.81%","8.97%","1,628","3.14%"
"5.1 - 6","795","1.66%","88.63%","102","2.66%","11.37%","897","1.73%"
"6.1 - 7","833","1.73%","89.96%","93","2.42%","10.04%","926","1.79%"
"7.1 - 8","915","1.91%","91.68%","83","2.16%","8.32%","998","1.92%"
"8.1 - 9","1,107","2.30%","92.71%","87","2.27%","7.29%","1,194","2.30%"
"9.1 - 10","2,882","6.00%","89.14%","351","9.15%","10.86%","3,233","6.23%"
"10.1 - 12","1,776","3.70%","92.31%","148","3.86%","7.69%","1,924","3.71%"
"12.1 - 15","4,226","8.80%","91.08%","414","10.79%","8.92%","4,640","8.95%"
"15.1 - 20","8,764","18.25%","92.22%","739","19.26%","7.78%","9,503","18.32%"
"20.1 - Over","13,047","27.16%","93.71%","876","22.83%","6.29%","13,923","26.84%"
"Life","7,538","15.69%","94.71%","421","10.97%","5.29%","7,959","15.35%"
"Life Without Parole","2,102","4.38%","96.51%","76","1.98%","3.49%","2,178","4.20%"
"Death","33","0.07%","97.06%","1","0.03%","2.94%","34","0.07%"
"Youthful Offenders","39","0.08%","95.12%","2","0.05%","4.88%","41","0.08%"
"Total Reported","48,029","100%","92.60%","3,837","100.0%","7.40%","51,866","100%"
