"Prison Sentence In Years","M count","M col percent","M row percent","F count","F col percent","F row percent","Total","Total percent"
"0 - 1","1,247","2.51%","87.45%","179","4.75%","12.55%","1,426","2.67%"
"1.1 - 2","3,541","7.14%","87.95%","484","12.83%","12.02%","4,026","7.54%"
"2.1 - 3","3,997","8.06%","88.41%","524","13.90%","11.59%","4,521","8.47%"
"3.1 - 4","2,858","5.76%","89.87%","322","8.54%","10.13%","3,180","5.96%"
"4.1 - 5","5,216","10.52%","90.49%","547","14.51%","9.49%","5,764","10.80%"
"5.1 - 6","2,022","4.08%","92.03%","175","4.64%","7.97%","2,197","4.12%"
"6.1 - 7","1,951","3.93%","92.60%","156","4.14%","7.40%","2,107","3.95%"
"7.1 - 8","1,807","3.64%","93.72%","121","3.21%","6.28%","1,928","3.61%"
"8.1 - 9","732","1.48%","92.42%","60","1.59%","7.58%","792","1.48%"
"9.1 - 10","6,096","12.29%","94.02%","388","10.29%","5.98%","6,484","12.15%"
"10.1 - 12","2,427","4.89%","95.36%","118","3.13%","4.64%","2,545","4.77%"
"12.1 - 15","3,804","7.67%","95.82%","166","4.40%","4.18%","3,970","7.44%"
"15.1 - 20","3,701","7.46%","96.30%","142","3.77%","3.70%","3,843","7.20%"
"20.1 - Over","2,985","6.02%","97.36%","81","2.15%","2.64%","3,066","5.75%"
"Life","6,548","13.20%","95.69%","295","7.82%","4.31%","6,843","12.82%"
"Life Without Parole","557","1.12%","97.89%","12","0.32%","2.11%","569","1.07%"
"Death","100","0.20%","99.01%","1","0.03%","0.99%","101","0.19%"
"Youthful Offenders","3","0.01%","100.00%","0","0.00%","0.00%","3","0.01%"
"Total Reported","49,592","100%","92.93%","3,771","100.0%","7.07%","53,365","100%"
