"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"027   Chattooga County","45","0.37%","86.54%","7","0.44%","13.46%","52","0.38%"
"028   Cherokee County","135","1.11%","85.99%","22","1.37%","14.01%","157","1.14%"
"029   Clarke County","151","1.25%","92.07%","13","0.81%","7.93%","164","1.19%"
"030   Clay County","2","0.02%","100.0%","","","","2","0.01%"
"031   Clayton County","224","1.85%","90.32%","24","1.49%","9.68%","248","1.81%"
"032   Clinch County","14","0.12%","93.33%","1","0.06%","6.67%","15","0.11%"
"033   Cobb County","604","4.98%","90.01%","67","4.17%","9.99%","671","4.89%"
"034   Coffee County","100","0.83%","92.59%","8","0.5%","7.41%","108","0.79%"
"035   Colquitt County","59","0.49%","98.33%","1","0.06%","1.67%","60","0.44%"
"036   Columbia County","155","1.28%","86.11%","25","1.56%","13.89%","180","1.31%"
"037   Cook County","31","0.26%","91.18%","3","0.19%","8.82%","34","0.25%"
"038   Coweta County","182","1.5%","90.55%","19","1.18%","9.45%","201","1.46%"
"039   Crawford County","4","0.03%","100.0%","","","","4","0.03%"
"040   Crisp County","85","0.7%","86.73%","13","0.81%","13.27%","98","0.71%"
"041   Dade County","33","0.27%","97.06%","1","0.06%","2.94%","34","0.25%"
"042   Dawson County","54","0.45%","72.97%","20","1.25%","27.03%","74","0.54%"
"043   Decatur County","78","0.64%","88.64%","10","0.62%","11.36%","88","0.64%"
"044   Dekalb County","387","3.19%","95.32%","19","1.18%","4.68%","406","2.96%"
"045   Dodge County","37","0.31%","82.22%","8","0.5%","17.78%","45","0.33%"
"046   Dooly County","24","0.2%","92.31%","2","0.12%","7.69%","26","0.19%"
"047   Dougherty County","177","1.46%","93.16%","13","0.81%","6.84%","190","1.38%"
"048   Douglas County","218","1.8%","84.17%","41","2.55%","15.83%","259","1.89%"
"049   Early County","23","0.19%","95.83%","1","0.06%","4.17%","24","0.17%"
"050   Echols County","1","0.01%","50.0%","1","0.06%","50.0%","2","0.01%"
"051   Effingham County","115","0.95%","87.12%","17","1.06%","12.88%","132","0.96%"
"052   Elbert County","42","0.35%","84.0%","8","0.5%","16.0%","50","0.36%"
"053   Emanuel County","30","0.25%","83.33%","6","0.37%","16.67%","36","0.26%"
