"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"115
Polk","45",".28%","88.24%","6",".26%","11.76%","51",".27%"
"116
Pulaski","28",".17%","82.35%","6",".26%","17.65%","34",".18%"
"117
Putnam","42",".26%","85.71%","7",".30%","14.29%","49",".26%"
"118
Quitman","4",".02%","100.00%","","","","4",".02%"
"119
Rabun","17",".10%","77.27%","5",".21%","22.73%","22",".12%"
"120
Randolph","18",".11%","85.71%","3",".13%","14.29%","21",".11%"
"121
Richmond","444","2.73%","87.92%","61","2.62%","12.08%","505","2.71%"
"122
Rockdale","230","1.41%","84.25%","43","1.85%","15.75%","273","1.47%"
"123
Schley","10",".06%","90.91%","1",".04%","9.09%","11",".06%"
"124
Screven","39",".24%","82.98%","8",".34%","17.02%","47",".25%"
"125
Seminole","13",".08%","92.86%","1",".04%","7.14%","14",".08%"
"126
Spalding","191","1.17%","83.41%","38","1.63%","16.59%","229","1.23%"
"127
Stephens","60",".37%","93.75%","4",".17%","6.25%","64",".34%"
"128
Stewart","7",".04%","87.50%","1",".04%","12.50%","8",".04%"
"129
Sumter","65",".40%","91.55%","6",".26%","8.45%","71",".38%"
"130
Talbot","16",".10%","100.00%","","","","16",".09%"
"131
Taliaferro","7",".04%","100.00%","","","","7",".04%"
"132
Tattnall","42",".26%","87.50%","6",".26%","12.50%","48",".26%"
"133
Taylor","30",".18%","85.71%","5",".21%","14.29%","35",".19%"
"134
Telfair","27",".17%","87.10%","4",".17%","12.90%","31",".17%"
"135
Terrell","14",".09%","100.00%","","","","14",".08%"
"136
Thomas","79",".49%","83.16%","16",".69%","16.84%","95",".51%"
"137
Tift","50",".31%","96.15%","2",".09%","3.85%","52",".28%"
"138
Toombs","69",".42%","80.23%","17",".73%","19.77%","86",".46%"
"139
Towns","22",".14%","84.62%","4",".17%","15.38%","26",".14%"
"140
Treutlen","29",".18%","100.00%","","","","29",".16%"
"141
Troup","247","1.52%","82.33%","53","2.27%","17.67%","300","1.61%"
"142
Turner","19",".12%","95.00%","1",".04%","5.00%","20",".11%"
"143
Twiggs","29",".18%","85.29%","5",".21%","14.71%","34",".18%"
"144
Union","32",".20%","78.05%","9",".39%","21.95%","41",".22%"
"145
Upson","90",".55%","93.75%","6",".26%","6.25%","96",".52%"
"146
Walker","121",".74%","88.32%","16",".69%","11.68%","137",".74%"
"147
Walton","169","1.04%","85.79%","28","1.20%","14.21%","197","1.06%"
"148
Ware","89",".55%","91.75%","8",".34%","8.25%","97",".52%"
"149
Warren","8",".05%","88.89%","1",".04%","11.11%","9",".05%"
"150
Washington","40",".25%","97.56%","1",".04%","2.44%","41",".22%"
"151
Wayne","50",".31%","81.97%","11",".47%","18.03%","61",".33%"
"152
Webster","1",".01%","50.00%","1",".04%","50.00%","2",".01%"
