"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"114
Pike County","12",".06%","85.71%","2",".09%","14.29%","14",".06%"
"115
Polk County","69",".34%","84.15%","13",".61%","15.85%","82",".37%"
"116
Pulaski County","16",".08%","88.89%","2",".09%","11.11%","18",".08%"
"117
Putnam County","53",".26%","88.33%","7",".33%","11.67%","60",".27%"
"118
Quitman County","4",".02%","100.00%","","","","4",".02%"
"119
Rabun County","23",".11%","79.31%","6",".28%","20.69%","29",".13%"
"120
Randolph County","25",".12%","89.29%","3",".14%","10.71%","28",".12%"
"121
Richmond County","608","2.99%","91.98%","53","2.49%","8.02%","661","2.94%"
"122
Rockdale County","210","1.03%","93.33%","15",".70%","6.67%","225","1.00%"
"123
Schley County","8",".04%","100.00%","","","","8",".04%"
"124
Screven County","33",".16%","89.19%","4",".19%","10.81%","37",".16%"
"125
Seminole County","22",".11%","88.00%","3",".14%","12.00%","25",".11%"
"126
Spalding County","267","1.31%","91.13%","26","1.22%","8.87%","293","1.31%"
"127
Stephens County","66",".32%","91.67%","6",".28%","8.33%","72",".32%"
"128
Stewart County","16",".08%","88.89%","2",".09%","11.11%","18",".08%"
"129
Sumter County","106",".52%","92.17%","9",".42%","7.83%","115",".51%"
"130
Talbot County","10",".05%","83.33%","2",".09%","16.67%","12",".05%"
"131
Taliaferro County","10",".05%","83.33%","2",".09%","16.67%","12",".05%"
"132
Tattnall County","69",".34%","89.61%","8",".38%","10.39%","77",".34%"
"133
Taylor County","33",".16%","94.29%","2",".09%","5.71%","35",".16%"
"134
Telfair County","37",".18%","88.10%","5",".23%","11.90%","42",".19%"
"135
Terrell County","14",".07%","100.00%","","","","14",".06%"
"136
Thomas County","65",".32%","94.20%","4",".19%","5.80%","69",".31%"
"137
Tift County","57",".28%","96.61%","2",".09%","3.39%","59",".26%"
"138
Toombs County","81",".40%","89.01%","10",".47%","10.99%","91",".41%"
"139
Towns County","14",".07%","73.68%","5",".23%","26.32%","19",".08%"
"140
Treutlen County","37",".18%","92.50%","3",".14%","7.50%","40",".18%"
"141
Troup County","308","1.52%","89.80%","35","1.64%","10.20%","343","1.53%"
"142
Turner County","22",".11%","95.65%","1",".05%","4.35%","23",".10%"
"143
Twiggs County","27",".13%","96.43%","1",".05%","3.57%","28",".12%"
"144
Union County","36",".18%","80.00%","9",".42%","20.00%","45",".20%"
"145
Upson County","80",".39%","97.56%","2",".09%","2.44%","82",".37%"
"146
Walker County","145",".71%","86.31%","23","1.08%","13.69%","168",".75%"
"147
Walton County","286","1.41%","86.67%","44","2.06%","13.33%","330","1.47%"
"148
Ware County","136",".67%","94.44%","8",".38%","5.56%","144",".64%"
"149
Warren County","15",".07%","100.00%","","","","15",".07%"
"150
Washington County","65",".32%","90.28%","7",".33%","9.72%","72",".32%"
"151
Wayne County","41",".20%","95.35%","2",".09%","4.65%","43",".19%"
