"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"39
Crawford","2",".01%","100.00%","","","","2",".01%"
"40
Crisp","102",".57%","91.89%","9",".42%","8.11%","111",".55%"
"41
Dade","56",".31%","96.55%","2",".09%","3.45%","58",".29%"
"42
Dawson","48",".27%","78.69%","13",".60%","21.31%","61",".30%"
"43
Decatur","77",".43%","78.57%","21",".97%","21.43%","98",".49%"
"44
Dekalb","1,025","5.73%","92.84%","79","3.65%","7.16%","1,104","5.50%"
"45
Dodge","52",".29%","85.25%","9",".42%","14.75%","61",".30%"
"46
Dooly","24",".13%","96.00%","1",".05%","4.00%","25",".12%"
"47
Dougherty","302","1.69%","91.24%","29","1.34%","8.76%","331","1.65%"
"48
Douglas","537","3.00%","86.06%","87","4.02%","13.94%","624","3.11%"
"49
Early","25",".14%","96.15%","1",".05%","3.85%","26",".13%"
"50
Echols","1",".01%","100.00%","","","","1",".01%"
"51
Effingham","56",".31%","88.89%","7",".32%","11.11%","63",".31%"
"52
Elbert","38",".21%","84.44%","7",".32%","15.56%","45",".22%"
"53
Emanuel","48",".27%","92.31%","4",".18%","7.69%","52",".26%"
"54
Evans","30",".17%","96.77%","1",".05%","3.23%","31",".15%"
"55
Fannin","33",".18%","97.06%","1",".05%","2.94%","34",".17%"
"56
Fayette","152",".85%","88.89%","19",".88%","11.11%","171",".85%"
"57
Floyd","308","1.72%","84.85%","55","2.54%","15.15%","363","1.81%"
"58
Forsyth","128",".72%","82.05%","28","1.29%","17.95%","156",".78%"
"59
Franklin","29",".16%","82.86%","6",".28%","17.14%","35",".17%"
"60
Fulton","1,761","9.84%","94.63%","100","4.62%","5.37%","1,861","9.28%"
"61
Gilmer","47",".26%","85.45%","8",".37%","14.55%","55",".27%"
"62
Glascock","4",".02%","100.00%","","","","4",".02%"
"63
Glynn","107",".60%","89.17%","13",".60%","10.83%","120",".60%"
"64
Gordon","143",".80%","83.14%","29","1.34%","16.86%","172",".86%"
"65
Grady","68",".38%","93.15%","5",".23%","6.85%","73",".36%"
"66
Greene","64",".36%","92.75%","5",".23%","7.25%","69",".34%"
"67
Gwinnett","912","5.10%","87.27%","133","6.15%","12.73%","1,045","5.21%"
"68
Habersham","43",".24%","87.76%","6",".28%","12.24%","49",".24%"
"69
Hall","241","1.35%","86.38%","38","1.76%","13.62%","279","1.39%"
"70
Hancock","15",".08%","100.00%","","","","15",".07%"
"71
Haralson","41",".23%","100.00%","","","","41",".20%"
"72
Harris","31",".17%","86.11%","5",".23%","13.89%","36",".18%"
"73
Hart","31",".17%","91.18%","3",".14%","8.82%","34",".17%"
"74
Heard","32",".18%","96.97%","1",".05%","3.03%","33",".16%"
"75
Henry","251","1.40%","84.80%","45","2.08%","15.20%","296","1.48%"
"76
Houston","204","1.14%","90.67%","21",".97%","9.33%","225","1.12%"
