"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"038 
Coweta County","190","1.45%","88.79%","24","1.38%","11.21%","214","1.44%"
"039 
Crawford County","8",".06%","100.00%","","","","8",".05%"
"040 
Crisp County","110",".84%","90.16%","12",".69%","9.84%","122",".82%"
"041 
Dade County","33",".25%","71.74%","13",".75%","28.26%","46",".31%"
"042 
Dawson County","31",".24%","72.09%","12",".69%","27.91%","43",".29%"
"043 
Decatur County","79",".60%","86.81%","12",".69%","13.19%","91",".61%"
"044 
Dekalb County","402","3.07%","92.84%","31","1.78%","7.16%","433","2.92%"
"045 
Dodge County","53",".40%","85.48%","9",".52%","14.52%","62",".42%"
"046 
Dooly County","45",".34%","81.82%","10",".58%","18.18%","55",".37%"
"047 
Dougherty County","217","1.66%","93.13%","16",".92%","6.87%","233","1.57%"
"048 
Douglas County","265","2.02%","85.48%","45","2.59%","14.52%","310","2.09%"
"049 
Early County","19",".15%","95.00%","1",".06%","5.00%","20",".13%"
"050 
Echols County","1",".01%","100.00%","","","","1",".01%"
"051 
Effingham County","113",".86%","90.40%","12",".69%","9.60%","125",".84%"
"052 
Elbert County","32",".24%","94.12%","2",".12%","5.88%","34",".23%"
"053 
Emanuel County","42",".32%","91.30%","4",".23%","8.70%","46",".31%"
"054 
Evans County","20",".15%","86.96%","3",".17%","13.04%","23",".16%"
"055 
Fannin County","26",".20%","86.67%","4",".23%","13.33%","30",".20%"
"056 
Fayette County","118",".90%","86.13%","19","1.09%","13.87%","137",".92%"
"057 
Floyd County","264","2.02%","86.27%","42","2.42%","13.73%","306","2.06%"
"058 
Forsyth County","133","1.02%","84.18%","25","1.44%","15.82%","158","1.07%"
"059 
Franklin County","62",".47%","80.52%","15",".86%","19.48%","77",".52%"
"060 
Fulton County","609","4.65%","93.84%","40","2.30%","6.16%","649","4.38%"
"061 
Gilmer County","23",".18%","76.67%","7",".40%","23.33%","30",".20%"
"062 
Glascock County","6",".05%","100.00%","","","","6",".04%"
"063 
Glynn County","141","1.08%","86.50%","22","1.27%","13.50%","163","1.10%"
"064 
Gordon County","210","1.60%","78.95%","56","3.22%","21.05%","266","1.79%"
"065 
Grady County","54",".41%","85.71%","9",".52%","14.29%","63",".42%"
"066 
Greene County","53",".40%","91.38%","5",".29%","8.62%","58",".39%"
"067 
Gwinnett County","643","4.91%","90.31%","69","3.97%","9.69%","712","4.80%"
"068 
Habersham County","35",".27%","81.40%","8",".46%","18.60%","43",".29%"
"069 
Hall County","156","1.19%","87.64%","22","1.27%","12.36%","178","1.20%"
"070 
Hancock County","9",".07%","90.00%","1",".06%","10.00%","10",".07%"
"071 
Haralson County","68",".52%","91.89%","6",".35%","8.11%","74",".50%"
"072 
Harris County","27",".21%","100.00%","","","","27",".18%"
"073 
Hart County","54",".41%","84.38%","10",".58%","15.63%","64",".43%"
"074 
Heard County","23",".18%","92.00%","2",".12%","8.00%","25",".17%"
"075 
Henry County","260","1.99%","89.97%","29","1.67%","10.03%","289","1.95%"
