"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"114
Pike County","11",".07%","91.67%","1",".05%","8.33%","12",".07%"
"115
Polk County","53",".33%","86.89%","8",".38%","13.11%","61",".34%"
"116
Pulaski County","19",".12%","95.00%","1",".05%","5.00%","20",".11%"
"117
Putnam County","38",".24%","74.51%","13",".61%","25.49%","51",".28%"
"118
Quitman County","2",".01%","100.00%","","","","2",".01%"
"119
Rabun County","23",".14%","95.83%","1",".05%","4.17%","24",".13%"
"120
Randolph County","16",".10%","100.00%","","","","16",".09%"
"121
Richmond County","602","3.79%","90.94%","60","2.81%","9.06%","662","3.68%"
"122
Rockdale County","212","1.34%","89.08%","26","1.22%","10.92%","238","1.32%"
"123
Schley County","4",".03%","66.67%","2",".09%","33.33%","6",".03%"
"124
Screven County","40",".25%","95.24%","2",".09%","4.76%","42",".23%"
"125
Seminole County","30",".19%","88.24%","4",".19%","11.76%","34",".19%"
"126
Spalding County","200","1.26%","88.11%","27","1.27%","11.89%","227","1.26%"
"127
Stephens County","77",".49%","84.62%","14",".66%","15.38%","91",".51%"
"128
Stewart County","9",".06%","100.00%","","","","9",".05%"
"129
Sumter County","85",".54%","96.59%","3",".14%","3.41%","88",".49%"
"130
Talbot County","12",".08%","100.00%","","","","12",".07%"
"131
Taliaferro County","8",".05%","100.00%","","","","8",".04%"
"132
Tattnall County","49",".31%","89.09%","6",".28%","10.91%","55",".31%"
"133
Taylor County","20",".13%","95.24%","1",".05%","4.76%","21",".12%"
"134
Telfair County","27",".17%","87.10%","4",".19%","12.90%","31",".17%"
"135
Terrell County","23",".14%","100.00%","","","","23",".13%"
"136
Thomas County","54",".34%","93.10%","4",".19%","6.90%","58",".32%"
"137
Tift County","74",".47%","91.36%","7",".33%","8.64%","81",".45%"
"138
Toombs County","89",".56%","81.65%","20",".94%","18.35%","109",".61%"
"139
Towns County","23",".14%","88.46%","3",".14%","11.54%","26",".14%"
"140
Treutlen County","22",".14%","84.62%","4",".19%","15.38%","26",".14%"
"141
Troup County","206","1.30%","88.41%","27","1.27%","11.59%","233","1.29%"
"142
Turner County","17",".11%","94.44%","1",".05%","5.56%","18",".10%"
"143
Twiggs County","15",".09%","93.75%","1",".05%","6.25%","16",".09%"
"144
Union County","26",".16%","78.79%","7",".33%","21.21%","33",".18%"
"145
Upson County","54",".34%","93.10%","4",".19%","6.90%","58",".32%"
"146
Walker County","151",".95%","87.28%","22","1.03%","12.72%","173",".96%"
"147
Walton County","224","1.41%","81.16%","52","2.44%","18.84%","276","1.53%"
"148
Ware County","119",".75%","92.97%","9",".42%","7.03%","128",".71%"
"149
Warren County","16",".10%","100.00%","","","","16",".09%"
"150
Washington County","49",".31%","76.56%","15",".70%","23.44%","64",".36%"
"151
Wayne County","53",".33%","88.33%","7",".33%","11.67%","60",".33%"
