"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"114
Pike County","12",".08%","92.31%","1",".05%","7.69%","13",".07%"
"115
Polk County","65",".41%","89.04%","8",".41%","10.96%","73",".41%"
"116
Pulaski County","29",".18%","100.00%","","","","29",".16%"
"117
Putnam County","53",".33%","92.98%","4",".20%","7.02%","57",".32%"
"118
Quitman County","6",".04%","100.00%","","","","6",".03%"
"119
Rabun County","14",".09%","93.33%","1",".05%","6.67%","15",".08%"
"120
Randolph County","17",".11%","85.00%","3",".15%","15.00%","20",".11%"
"121
Richmond County","516","3.24%","92.64%","41","2.10%","7.36%","557","3.11%"
"122
Rockdale County","169","1.06%","85.35%","29","1.48%","14.65%","198","1.11%"
"123
Schley County","7",".04%","87.50%","1",".05%","12.50%","8",".04%"
"124
Screven County","28",".18%","87.50%","4",".20%","12.50%","32",".18%"
"125
Seminole County","21",".13%","95.45%","1",".05%","4.55%","22",".12%"
"126
Spalding County","175","1.10%","91.15%","17",".87%","8.85%","192","1.07%"
"127
Stephens County","64",".40%","90.14%","7",".36%","9.86%","71",".40%"
"128
Stewart County","8",".05%","100.00%","","","","8",".04%"
"129
Sumter County","57",".36%","93.44%","4",".20%","6.56%","61",".34%"
"130
Talbot County","8",".05%","88.89%","1",".05%","11.11%","9",".05%"
"131
Taliaferro County","7",".04%","87.50%","1",".05%","12.50%","8",".04%"
"132
Tattnall County","65",".41%","84.42%","12",".61%","15.58%","77",".43%"
"133
Taylor County","30",".19%","88.24%","4",".20%","11.76%","34",".19%"
"134
Telfair County","21",".13%","87.50%","3",".15%","12.50%","24",".13%"
"135
Terrell County","19",".12%","90.48%","2",".10%","9.52%","21",".12%"
"136
Thomas County","38",".24%","86.36%","6",".31%","13.64%","44",".25%"
"137
Tift County","69",".43%","90.79%","7",".36%","9.21%","76",".42%"
"138
Toombs County","91",".57%","86.67%","14",".72%","13.33%","105",".59%"
"139
Towns County","15",".09%","93.75%","1",".05%","6.25%","16",".09%"
"140
Treutlen County","32",".20%","94.12%","2",".10%","5.88%","34",".19%"
"141
Troup County","226","1.42%","81.29%","52","2.66%","18.71%","278","1.55%"
"142
Turner County","14",".09%","82.35%","3",".15%","17.65%","17",".10%"
"143
Twiggs County","32",".20%","96.97%","1",".05%","3.03%","33",".18%"
"144
Union County","28",".18%","75.68%","9",".46%","24.32%","37",".21%"
"145
Upson County","64",".40%","87.67%","9",".46%","12.33%","73",".41%"
"146
Walker County","104",".65%","80.00%","26","1.33%","20.00%","130",".73%"
"147
Walton County","207","1.30%","86.97%","31","1.58%","13.03%","238","1.33%"
"148
Ware County","103",".65%","90.35%","11",".56%","9.65%","114",".64%"
"149
Warren County","15",".09%","100.00%","","","","15",".08%"
"150
Washington County","38",".24%","82.61%","8",".41%","17.39%","46",".26%"
"151
Wayne County","58",".36%","86.57%","9",".46%","13.43%","67",".37%"
