"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"038
Coweta County","197","1.23%","89.95%","22","1.04%","10.05%","219","1.21%"
"039
Crawford County","10",".06%","90.91%","1",".05%","9.09%","11",".06%"
"040
Crisp County","68",".43%","88.31%","9",".43%","11.69%","77",".43%"
"041
Dade County","35",".22%","85.37%","6",".28%","14.63%","41",".23%"
"042
Dawson County","49",".31%","76.56%","15",".71%","23.44%","64",".35%"
"043
Decatur County","37",".23%","92.50%","3",".14%","7.50%","40",".22%"
"044
Dekalb County","791","4.95%","93.50%","55","2.61%","6.50%","846","4.67%"
"045
Dodge County","57",".36%","89.06%","7",".33%","10.94%","64",".35%"
"046
Dooly County","30",".19%","88.24%","4",".19%","11.76%","34",".19%"
"047
Dougherty County","289","1.81%","91.17%","28","1.33%","8.83%","317","1.75%"
"048
Douglas County","390","2.44%","84.23%","73","3.46%","15.77%","463","2.56%"
"049
Early County","24",".15%","88.89%","3",".14%","11.11%","27",".15%"
"051
Effingham County","77",".48%","87.50%","11",".52%","12.50%","88",".49%"
"052
Elbert County","47",".29%","85.45%","8",".38%","14.55%","55",".30%"
"053
Emanuel County","24",".15%","88.89%","3",".14%","11.11%","27",".15%"
"054
Evans County","21",".13%","91.30%","2",".09%","8.70%","23",".13%"
"055
Fannin County","20",".13%","76.92%","6",".28%","23.08%","26",".14%"
"056
Fayette County","114",".71%","82.01%","25","1.19%","17.99%","139",".77%"
"057
Floyd County","305","1.91%","85.67%","51","2.42%","14.33%","356","1.97%"
"058
Forsyth County","150",".94%","85.23%","26","1.23%","14.77%","176",".97%"
"059
Franklin County","57",".36%","86.36%","9",".43%","13.64%","66",".36%"
"060
Fulton County","1,274","7.97%","95.29%","63","2.99%","4.71%","1,337","7.39%"
"061
Gilmer County","28",".18%","87.50%","4",".19%","12.50%","32",".18%"
"062
Glascock County","5",".03%","100.00%","","","","5",".03%"
"063
Glynn County","172","1.08%","93.99%","11",".52%","6.01%","183","1.01%"
"064
Gordon County","161","1.01%","83.85%","31","1.47%","16.15%","192","1.06%"
"065
Grady County","28",".18%","87.50%","4",".19%","12.50%","32",".18%"
"066
Greene County","48",".30%","96.00%","2",".09%","4.00%","50",".28%"
"067
Gwinnett County","928","5.80%","88.30%","123","5.84%","11.70%","1,051","5.81%"
"068
Habersham County","34",".21%","91.89%","3",".14%","8.11%","37",".20%"
"069
Hall County","266","1.66%","90.17%","29","1.38%","9.83%","295","1.63%"
"070
Hancock County","8",".05%","88.89%","1",".05%","11.11%","9",".05%"
"071
Haralson County","49",".31%","85.96%","8",".38%","14.04%","57",".31%"
"072
Harris County","44",".28%","88.00%","6",".28%","12.00%","50",".28%"
"073
Hart County","51",".32%","79.69%","13",".62%","20.31%","64",".35%"
"074
Heard County","26",".16%","96.30%","1",".05%","3.70%","27",".15%"
"075
Henry County","209","1.31%","82.94%","43","2.04%","17.06%","252","1.39%"
"076
Houston County","140",".88%","80.92%","33","1.57%","19.08%","173",".96%"
