"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"115
Polk","47",".26%","88.68%","6",".28%","11.32%","53",".26%"
"116
Pulaski","24",".13%","92.31%","2",".09%","7.69%","26",".13%"
"117
Putnam","46",".26%","90.20%","5",".23%","9.80%","51",".25%"
"118
Quitman","3",".02%","75.00%","1",".05%","25.00%","4",".02%"
"119
Rabun","25",".14%","89.29%","3",".14%","10.71%","28",".14%"
"120
Randolph","19",".11%","95.00%","1",".05%","5.00%","20",".10%"
"121
Richmond","501","2.80%","91.76%","45","2.08%","8.24%","546","2.72%"
"122
Rockdale","212","1.18%","83.14%","43","1.99%","16.86%","255","1.27%"
"123
Schley","12",".07%","92.31%","1",".05%","7.69%","13",".06%"
"124
Screven","38",".21%","97.44%","1",".05%","2.56%","39",".19%"
"125
Seminole","11",".06%","91.67%","1",".05%","8.33%","12",".06%"
"126
Spalding","234","1.31%","84.78%","42","1.94%","15.22%","276","1.38%"
"127
Stephens","102",".57%","89.47%","12",".55%","10.53%","114",".57%"
"128
Stewart","6",".03%","85.71%","1",".05%","14.29%","7",".03%"
"129
Sumter","61",".34%","87.14%","9",".42%","12.86%","70",".35%"
"130
Talbot","14",".08%","100.00%","","","","14",".07%"
"131
Taliaferro","10",".06%","90.91%","1",".05%","9.09%","11",".05%"
"132
Tattnall","64",".36%","86.49%","10",".46%","13.51%","74",".37%"
"133
Taylor","46",".26%","85.19%","8",".37%","14.81%","54",".27%"
"134
Telfair","44",".25%","83.02%","9",".42%","16.98%","53",".26%"
"135
Terrell","15",".08%","93.75%","1",".05%","6.25%","16",".08%"
"136
Thomas","67",".37%","89.33%","8",".37%","10.67%","75",".37%"
"137
Tift","48",".27%","88.89%","6",".28%","11.11%","54",".27%"
"138
Toombs","78",".44%","86.67%","12",".55%","13.33%","90",".45%"
"139
Towns","16",".09%","66.67%","8",".37%","33.33%","24",".12%"
"140
Treutlen","10",".06%","90.91%","1",".05%","9.09%","11",".05%"
"141
Troup","235","1.31%","87.04%","35","1.62%","12.96%","270","1.35%"
"142
Turner","15",".08%","78.95%","4",".18%","21.05%","19",".09%"
"143
Twiggs","26",".15%","100.00%","","","","26",".13%"
"144
Union","40",".22%","81.63%","9",".42%","18.37%","49",".24%"
"145
Upson","73",".41%","84.88%","13",".60%","15.12%","86",".43%"
"146
Walker","140",".78%","89.74%","16",".74%","10.26%","156",".78%"
"147
Walton","140",".78%","77.35%","41","1.90%","22.65%","181",".90%"
"148
Ware","84",".47%","88.42%","11",".51%","11.58%","95",".47%"
"149
Warren","8",".04%","80.00%","2",".09%","20.00%","10",".05%"
"150
Washington","38",".21%","84.44%","7",".32%","15.56%","45",".22%"
"151
Wayne","50",".28%","92.59%","4",".18%","7.41%","54",".27%"
"152
Webster","4",".02%","100.00%","","","","4",".02%"
