"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"038 
Coweta County","97","1.06%","92.38%","8",".68%","7.62%","105","1.02%"
"039 
Crawford County","2",".02%","66.67%","1",".08%","33.33%","3",".03%"
"040 
Crisp County","89",".98%","89.90%","10",".85%","10.10%","99",".96%"
"041 
Dade County","17",".19%","89.47%","2",".17%","10.53%","19",".18%"
"042 
Dawson County","14",".15%","70.00%","6",".51%","30.00%","20",".19%"
"043 
Decatur County","33",".36%","94.29%","2",".17%","5.71%","35",".34%"
"044 
Dekalb County","252","2.77%","95.09%","13","1.10%","4.91%","265","2.58%"
"045 
Dodge County","34",".37%","91.89%","3",".25%","8.11%","37",".36%"
"046 
Dooly County","21",".23%","87.50%","3",".25%","12.50%","24",".23%"
"047 
Dougherty County","118","1.29%","94.40%","7",".59%","5.60%","125","1.21%"
"048 
Douglas County","241","2.64%","86.38%","38","3.23%","13.62%","279","2.71%"
"049 
Early County","18",".20%","94.74%","1",".08%","5.26%","19",".18%"
"050 
Echols County","1",".01%","50.00%","1",".08%","50.00%","2",".02%"
"051 
Effingham County","42",".46%","87.50%","6",".51%","12.50%","48",".47%"
"052 
Elbert County","22",".24%","84.62%","4",".34%","15.38%","26",".25%"
"053 
Emanuel County","13",".14%","72.22%","5",".42%","27.78%","18",".17%"
"054 
Evans County","12",".13%","92.31%","1",".08%","7.69%","13",".13%"
"055 
Fannin County","10",".11%","100.00%","","","","10",".10%"
"056 
Fayette County","60",".66%","88.24%","8",".68%","11.76%","68",".66%"
"057 
Floyd County","225","2.47%","84.59%","41","3.48%","15.41%","266","2.59%"
"058 
Forsyth County","101","1.11%","82.11%","22","1.87%","17.89%","123","1.20%"
"059 
Franklin County","37",".41%","82.22%","8",".68%","17.78%","45",".44%"
"060 
Fulton County","555","6.09%","94.87%","30","2.55%","5.13%","585","5.69%"
"061 
Gilmer County","23",".25%","88.46%","3",".25%","11.54%","26",".25%"
"062 
Glascock County","1",".01%","100.00%","","","","1",".01%"
"063 
Glynn County","114","1.25%","89.06%","14","1.19%","10.94%","128","1.24%"
"064 
Gordon County","94","1.03%","81.03%","22","1.87%","18.97%","116","1.13%"
"065 
Grady County","17",".19%","89.47%","2",".17%","10.53%","19",".18%"
"066 
Greene County","34",".37%","100.00%","","","","34",".33%"
"067 
Gwinnett County","480","5.27%","88.40%","63","5.35%","11.60%","543","5.28%"
"068 
Habersham County","18",".20%","81.82%","4",".34%","18.18%","22",".21%"
"069 
Hall County","112","1.23%","91.80%","10",".85%","8.20%","122","1.19%"
"070 
Hancock County","6",".07%","85.71%","1",".08%","14.29%","7",".07%"
"071 
Haralson County","46",".50%","88.46%","6",".51%","11.54%","52",".51%"
"072 
Harris County","14",".15%","93.33%","1",".08%","6.67%","15",".15%"
"073 
Hart County","39",".43%","95.12%","2",".17%","4.88%","41",".40%"
"074 
Heard County","8",".09%","88.89%","1",".08%","11.11%","9",".09%"
"075 
Henry County","172","1.89%","88.66%","22","1.87%","11.34%","194","1.89%"
