"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"038 
Coweta County","168","1.40%","91.80%","15",".95%","8.20%","183","1.35%"
"039 
Crawford County","3",".02%","100.00%","","","","3",".02%"
"040 
Crisp County","89",".74%","88.12%","12",".76%","11.88%","101",".74%"
"041 
Dade County","22",".18%","81.48%","5",".32%","18.52%","27",".20%"
"042 
Dawson County","59",".49%","83.10%","12",".76%","16.90%","71",".52%"
"043 
Decatur County","63",".52%","80.77%","15",".95%","19.23%","78",".57%"
"044 
Dekalb County","380","3.16%","94.29%","23","1.46%","5.71%","403","2.97%"
"045 
Dodge County","49",".41%","87.50%","7",".45%","12.50%","56",".41%"
"046 
Dooly County","30",".25%","81.08%","7",".45%","18.92%","37",".27%"
"047 
Dougherty County","164","1.37%","94.80%","9",".57%","5.20%","173","1.27%"
"048 
Douglas County","244","2.03%","85.61%","41","2.61%","14.39%","285","2.10%"
"049 
Early County","16",".13%","94.12%","1",".06%","5.88%","17",".13%"
"050 
Echols County","1",".01%","50.00%","1",".06%","50.00%","2",".01%"
"051 
Effingham County","109",".91%","85.16%","19","1.21%","14.84%","128",".94%"
"052 
Elbert County","27",".22%","93.10%","2",".13%","6.90%","29",".21%"
"053 
Emanuel County","36",".30%","83.72%","7",".45%","16.28%","43",".32%"
"054 
Evans County","17",".14%","89.47%","2",".13%","10.53%","19",".14%"
"055 
Fannin County","20",".17%","86.96%","3",".19%","13.04%","23",".17%"
"056 
Fayette County","107",".89%","86.99%","16","1.02%","13.01%","123",".91%"
"057 
Floyd County","227","1.89%","85.98%","37","2.36%","14.02%","264","1.94%"
"058 
Forsyth County","125","1.04%","81.70%","28","1.78%","18.30%","153","1.13%"
"059 
Franklin County","38",".32%","84.44%","7",".45%","15.56%","45",".33%"
"060 
Fulton County","736","6.13%","95.83%","32","2.04%","4.17%","768","5.65%"
"061 
Gilmer County","19",".16%","82.61%","4",".25%","17.39%","23",".17%"
"062 
Glascock County","3",".02%","100.00%","","","","3",".02%"
"063 
Glynn County","147","1.22%","90.74%","15",".95%","9.26%","162","1.19%"
"064 
Gordon County","149","1.24%","81.42%","34","2.16%","18.58%","183","1.35%"
"065 
Grady County","42",".35%","93.33%","3",".19%","6.67%","45",".33%"
"066 
Greene County","33",".27%","80.49%","8",".51%","19.51%","41",".30%"
"067 
Gwinnett County","739","6.15%","90.01%","82","5.22%","9.99%","821","6.04%"
"068 
Habersham County","34",".28%","87.18%","5",".32%","12.82%","39",".29%"
"069 
Hall County","115",".96%","86.47%","18","1.15%","13.53%","133",".98%"
"070 
Hancock County","9",".07%","81.82%","2",".13%","18.18%","11",".08%"
"071 
Haralson County","69",".57%","86.25%","11",".70%","13.75%","80",".59%"
"072 
Harris County","22",".18%","91.67%","2",".13%","8.33%","24",".18%"
"073 
Hart County","50",".42%","87.72%","7",".45%","12.28%","57",".42%"
"074 
Heard County","15",".12%","100.00%","","","","15",".11%"
"075 
Henry County","221","1.84%","85.99%","36","2.29%","14.01%","257","1.89%"
