"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"038
Coweta County","173","1.09%","88.72%","22","1.12%","11.28%","195","1.09%"
"039
Crawford County","7",".04%","87.50%","1",".05%","12.50%","8",".04%"
"040
Crisp County","63",".40%","91.30%","6",".31%","8.70%","69",".39%"
"041
Dade County","23",".14%","82.14%","5",".26%","17.86%","28",".16%"
"042
Dawson County","43",".27%","86.00%","7",".36%","14.00%","50",".28%"
"043
Decatur County","63",".40%","84.00%","12",".61%","16.00%","75",".42%"
"044
Dekalb County","896","5.62%","91.62%","82","4.19%","8.38%","978","5.47%"
"045
Dodge County","52",".33%","89.66%","6",".31%","10.34%","58",".32%"
"046
Dooly County","24",".15%","85.71%","4",".20%","14.29%","28",".16%"
"047
Dougherty County","329","2.07%","90.14%","36","1.84%","9.86%","365","2.04%"
"048
Douglas County","451","2.83%","85.09%","79","4.04%","14.91%","530","2.96%"
"049
Early County","29",".18%","96.67%","1",".05%","3.33%","30",".17%"
"050
Echols County","4",".03%","66.67%","2",".10%","33.33%","6",".03%"
"051
Effingham County","53",".33%","92.98%","4",".20%","7.02%","57",".32%"
"052
Elbert County","47",".30%","85.45%","8",".41%","14.55%","55",".31%"
"053
Emanuel County","30",".19%","83.33%","6",".31%","16.67%","36",".20%"
"054
Evans County","28",".18%","100.00%","","","","28",".16%"
"055
Fannin County","29",".18%","93.55%","2",".10%","6.45%","31",".17%"
"056
Fayette County","125",".78%","83.33%","25","1.28%","16.67%","150",".84%"
"057
Floyd County","297","1.86%","83.19%","60","3.07%","16.81%","357","2.00%"
"058
Forsyth County","125",".78%","88.03%","17",".87%","11.97%","142",".79%"
"059
Franklin County","52",".33%","86.67%","8",".41%","13.33%","60",".34%"
"060
Fulton County","1,140","7.16%","94.45%","67","3.43%","5.55%","1,207","6.75%"
"061
Gilmer County","36",".23%","78.26%","10",".51%","21.74%","46",".26%"
"062
Glascock County","3",".02%","100.00%","","","","3",".02%"
"063
Glynn County","151",".95%","93.21%","11",".56%","6.79%","162",".91%"
"064
Gordon County","143",".90%","83.14%","29","1.48%","16.86%","172",".96%"
"065
Grady County","45",".28%","90.00%","5",".26%","10.00%","50",".28%"
"066
Greene County","48",".30%","88.89%","6",".31%","11.11%","54",".30%"
"067
Gwinnett County","918","5.76%","88.70%","117","5.98%","11.30%","1,035","5.79%"
"068
Habersham County","33",".21%","89.19%","4",".20%","10.81%","37",".21%"
"069
Hall County","225","1.41%","87.21%","33","1.69%","12.79%","258","1.44%"
"070
Hancock County","10",".06%","90.91%","1",".05%","9.09%","11",".06%"
"071
Haralson County","86",".54%","91.49%","8",".41%","8.51%","94",".53%"
"072
Harris County","29",".18%","90.63%","3",".15%","9.38%","32",".18%"
"073
Hart County","49",".31%","85.96%","8",".41%","14.04%","57",".32%"
"074
Heard County","22",".14%","78.57%","6",".31%","21.43%","28",".16%"
"075
Henry County","211","1.32%","85.77%","35","1.79%","14.23%","246","1.38%"
