"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"77
Irwin","18",".10%","90.00%","2",".11%","10.00%","20",".10%"
"78
Jackson","69",".40%","95.83%","3",".16%","4.17%","72",".37%"
"79
Jasper","20",".11%","100.00%","","","","20",".10%"
"80
Jeff Davis","26",".15%","92.86%","2",".11%","7.14%","28",".15%"
"81
Jefferson","33",".19%","100.00%","","","","33",".17%"
"82
Jenkins","14",".08%","93.33%","1",".05%","6.67%","15",".08%"
"83
Johnson","28",".16%","96.55%","1",".05%","3.45%","29",".15%"
"84
Jones","63",".36%","88.73%","8",".43%","11.27%","71",".37%"
"85
Lamar","23",".13%","100.00%","","","","23",".12%"
"86
Lanier","20",".11%","95.24%","1",".05%","4.76%","21",".11%"
"87
Laurens","101",".58%","90.18%","11",".60%","9.82%","112",".58%"
"88
Lee","25",".14%","96.15%","1",".05%","3.85%","26",".14%"
"89
Liberty","65",".37%","91.55%","6",".33%","8.45%","71",".37%"
"90
Lincoln","17",".10%","94.44%","1",".05%","5.56%","18",".09%"
"91
Long","30",".17%","93.75%","2",".11%","6.25%","32",".17%"
"92
Lowndes","156",".90%","91.23%","15",".81%","8.77%","171",".89%"
"93
Lumpkin","30",".17%","78.95%","8",".43%","21.05%","38",".20%"
"94
Macon","25",".14%","89.29%","3",".16%","10.71%","28",".15%"
"95
Madison","61",".35%","95.31%","3",".16%","4.69%","64",".33%"
"96
Marion","16",".09%","100.00%","","","","16",".08%"
"97
Mcduffie","83",".48%","94.32%","5",".27%","5.68%","88",".46%"
"98
Mcintosh","24",".14%","96.00%","1",".05%","4.00%","25",".13%"
"99
Meriwether","43",".25%","93.48%","3",".16%","6.52%","46",".24%"
"100
Miller","13",".07%","100.00%","","","","13",".07%"
"101
Mitchell","82",".47%","91.11%","8",".43%","8.89%","90",".47%"
"102
Monroe","49",".28%","87.50%","7",".38%","12.50%","56",".29%"
"103
Montgomery","13",".07%","100.00%","","","","13",".07%"
"104
Morgan","21",".12%","87.50%","3",".16%","12.50%","24",".12%"
"105
Murray","79",".45%","84.95%","14",".76%","15.05%","93",".48%"
"106
Muscogee","586","3.37%","90.85%","59","3.20%","9.15%","645","3.35%"
"107
Newton","201","1.16%","93.06%","15",".81%","6.94%","216","1.12%"
"108
Oconee","9",".05%","100.00%","","","","9",".05%"
"109
Oglethorpe","18",".10%","90.00%","2",".11%","10.00%","20",".10%"
"110
Paulding","57",".33%","96.61%","2",".11%","3.39%","59",".31%"
"111
Peach","19",".11%","95.00%","1",".05%","5.00%","20",".10%"
"112
Pickens","30",".17%","88.24%","4",".22%","11.76%","34",".18%"
"113
Pierce","14",".08%","93.33%","1",".05%","6.67%","15",".08%"
"114
Pike","20",".11%","95.24%","1",".05%","4.76%","21",".11%"
