"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"114
Pike County","17",".09%","85.00%","3",".15%","15.00%","20",".09%"
"115
Polk County","57",".30%","89.06%","7",".36%","10.94%","64",".30%"
"116
Pulaski County","25",".13%","86.21%","4",".20%","13.79%","29",".14%"
"117
Putnam County","56",".29%","93.33%","4",".20%","6.67%","60",".28%"
"118
Quitman County","5",".03%","100.00%","","","","5",".02%"
"119
Rabun County","11",".06%","73.33%","4",".20%","26.67%","15",".07%"
"120
Randolph County","19",".10%","95.00%","1",".05%","5.00%","20",".09%"
"121
Richmond County","617","3.23%","95.36%","30","1.54%","4.64%","647","3.07%"
"122
Rockdale County","169",".88%","89.89%","19",".97%","10.11%","188",".89%"
"123
Schley County","5",".03%","100.00%","","","","5",".02%"
"124
Screven County","38",".20%","92.68%","3",".15%","7.32%","41",".19%"
"125
Seminole County","8",".04%","80.00%","2",".10%","20.00%","10",".05%"
"126
Spalding County","157",".82%","91.81%","14",".72%","8.19%","171",".81%"
"127
Stephens County","55",".29%","90.16%","6",".31%","9.84%","61",".29%"
"128
Stewart County","5",".03%","83.33%","1",".05%","16.67%","6",".03%"
"129
Sumter County","62",".32%","96.88%","2",".10%","3.13%","64",".30%"
"130
Talbot County","15",".08%","100.00%","","","","15",".07%"
"131
Taliaferro County","7",".04%","100.00%","","","","7",".03%"
"132
Tattnall County","47",".25%","90.38%","5",".26%","9.62%","52",".25%"
"133
Taylor County","40",".21%","95.24%","2",".10%","4.76%","42",".20%"
"134
Telfair County","34",".18%","85.00%","6",".31%","15.00%","40",".19%"
"135
Terrell County","23",".12%","95.83%","1",".05%","4.17%","24",".11%"
"136
Thomas County","54",".28%","88.52%","7",".36%","11.48%","61",".29%"
"137
Tift County","54",".28%","93.10%","4",".20%","6.90%","58",".28%"
"138
Toombs County","125",".65%","88.03%","17",".87%","11.97%","142",".67%"
"139
Towns County","15",".08%","83.33%","3",".15%","16.67%","18",".09%"
"140
Treutlen County","29",".15%","96.67%","1",".05%","3.33%","30",".14%"
"141
Troup County","280","1.47%","93.33%","20","1.02%","6.67%","300","1.42%"
"142
Turner County","18",".09%","94.74%","1",".05%","5.26%","19",".09%"
"143
Twiggs County","20",".10%","100.00%","","","","20",".09%"
"144
Union County","49",".26%","92.45%","4",".20%","7.55%","53",".25%"
"145
Upson County","70",".37%","94.59%","4",".20%","5.41%","74",".35%"
"146
Walker County","115",".60%","89.84%","13",".67%","10.16%","128",".61%"
"147
Walton County","200","1.05%","90.09%","22","1.13%","9.91%","222","1.05%"
"148
Ware County","81",".42%","86.17%","13",".67%","13.83%","94",".45%"
"149
Warren County","12",".06%","85.71%","2",".10%","14.29%","14",".07%"
"150
Washington County","64",".34%","91.43%","6",".31%","8.57%","70",".33%"
"151
Wayne County","36",".19%","94.74%","2",".10%","5.26%","38",".18%"
