"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"115 
Polk County","58",".47%","78.38%","16","1.12%","21.62%","74",".54%"
"116 
Pulaski County","19",".15%","95.00%","1",".07%","5.00%","20",".15%"
"117 
Putnam County","29",".23%","96.67%","1",".07%","3.33%","30",".22%"
"118 
Quitman County","5",".04%","100.00%","","","","5",".04%"
"119 
Rabun County","19",".15%","90.48%","2",".14%","9.52%","21",".15%"
"120 
Randolph County","9",".07%","81.82%","2",".14%","18.18%","11",".08%"
"121 
Richmond County","438","3.54%","91.44%","41","2.88%","8.56%","479","3.48%"
"122 
Rockdale County","121",".98%","93.08%","9",".63%","6.92%","130",".94%"
"123 
Schley County","3",".02%","100.00%","","","","3",".02%"
"124 
Screven County","32",".26%","91.43%","3",".21%","8.57%","35",".25%"
"125 
Seminole County","12",".10%","70.59%","5",".35%","29.41%","17",".12%"
"126 
Spalding County","143","1.16%","92.26%","12",".84%","7.74%","155","1.12%"
"127 
Stephens County","43",".35%","95.56%","2",".14%","4.44%","45",".33%"
"128 
Stewart County","9",".07%","100.00%","","","","9",".07%"
"129 
Sumter County","62",".50%","96.88%","2",".14%","3.13%","64",".46%"
"130 
Talbot County","4",".03%","80.00%","1",".07%","20.00%","5",".04%"
"131 
Taliaferro County","5",".04%","100.00%","","","","5",".04%"
"132 
Tattnall County","63",".51%","90.00%","7",".49%","10.00%","70",".51%"
"133 
Taylor County","10",".08%","76.92%","3",".21%","23.08%","13",".09%"
"134 
Telfair County","25",".20%","96.15%","1",".07%","3.85%","26",".19%"
"135 
Terrell County","14",".11%","93.33%","1",".07%","6.67%","15",".11%"
"136 
Thomas County","46",".37%","95.83%","2",".14%","4.17%","48",".35%"
"137 
Tift County","84",".68%","92.31%","7",".49%","7.69%","91",".66%"
"138 
Toombs County","77",".62%","87.50%","11",".77%","12.50%","88",".64%"
"139 
Towns County","13",".11%","68.42%","6",".42%","31.58%","19",".14%"
"140 
Treutlen County","20",".16%","90.91%","2",".14%","9.09%","22",".16%"
"141 
Troup County","152","1.23%","87.86%","21","1.47%","12.14%","173","1.26%"
"142 
Turner County","25",".20%","100.00%","","","","25",".18%"
"143 
Twiggs County","21",".17%","100.00%","","","","21",".15%"
"144 
Union County","30",".24%","88.24%","4",".28%","11.76%","34",".25%"
"145 
Upson County","46",".37%","80.70%","11",".77%","19.30%","57",".41%"
"146 
Walker County","143","1.16%","84.62%","26","1.82%","15.38%","169","1.23%"
"147 
Walton County","283","2.29%","86.28%","45","3.16%","13.72%","328","2.38%"
"148 
Ware County","93",".75%","93.00%","7",".49%","7.00%","100",".73%"
"149 
Warren County","10",".08%","100.00%","","","","10",".07%"
"150 
Washington County","39",".32%","88.64%","5",".35%","11.36%","44",".32%"
"151 
Wayne County","56",".45%","91.80%","5",".35%","8.20%","61",".44%"
"152 
Webster County","3",".02%","100.00%","","","","3",".02%"
