"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"000
Unknown","89",".50%","93.68%","6",".28%","6.32%","95",".48%"
"001
Appling County","27",".15%","93.10%","2",".09%","6.90%","29",".15%"
"002
Atkinson County","16",".09%","100.00%","","","","16",".08%"
"003
Bacon County","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"004
Baker County","7",".04%","100.00%","","","","7",".04%"
"005
Baldwin County","130",".74%","90.91%","13",".60%","9.09%","143",".72%"
"006
Banks County","14",".08%","100.00%","","","","14",".07%"
"007
Barrow County","90",".51%","90.00%","10",".46%","10.00%","100",".51%"
"008
Bartow County","267","1.51%","85.58%","45","2.08%","14.42%","312","1.58%"
"009
Ben Hill County","81",".46%","92.05%","7",".32%","7.95%","88",".44%"
"010
Berrien County","35",".20%","94.59%","2",".09%","5.41%","37",".19%"
"011
Bibb County","294","1.67%","94.53%","17",".79%","5.47%","311","1.57%"
"012
Bleckley County","19",".11%","90.48%","2",".09%","9.52%","21",".11%"
"013
Brantley County","28",".16%","93.33%","2",".09%","6.67%","30",".15%"
"014
Brooks County","22",".12%","91.67%","2",".09%","8.33%","24",".12%"
"015
Bryan County","46",".26%","95.83%","2",".09%","4.17%","48",".24%"
"016
Bulloch County","176","1.00%","90.72%","18",".83%","9.28%","194",".98%"
"017
Burke County","75",".43%","97.40%","2",".09%","2.60%","77",".39%"
"018
Butts County","56",".32%","93.33%","4",".18%","6.67%","60",".30%"
"019
Calhoun County","5",".03%","62.50%","3",".14%","37.50%","8",".04%"
"020
Camden County","44",".25%","86.27%","7",".32%","13.73%","51",".26%"
"021
Candler County","31",".18%","91.18%","3",".14%","8.82%","34",".17%"
"022
Carroll County","222","1.26%","87.40%","32","1.48%","12.60%","254","1.28%"
"023
Catoosa County","118",".67%","86.13%","19",".88%","13.87%","137",".69%"
"024
Charlton County","23",".13%","95.83%","1",".05%","4.17%","24",".12%"
"025
Chatham County","761","4.31%","93.26%","55","2.54%","6.74%","816","4.12%"
"026
Chattahoochee County","12",".07%","92.31%","1",".05%","7.69%","13",".07%"
"027
Chattooga County","91",".52%","80.53%","22","1.02%","19.47%","113",".57%"
"028
Cherokee County","205","1.16%","87.23%","30","1.39%","12.77%","235","1.19%"
"029
Clarke County","159",".90%","94.64%","9",".42%","5.36%","168",".85%"
"030
Clay County","18",".10%","100.00%","","","","18",".09%"
"031
Clayton County","569","3.23%","86.87%","86","3.97%","13.13%","655","3.31%"
"032
Clinch County","16",".09%","94.12%","1",".05%","5.88%","17",".09%"
"033
Cobb County","1,274","7.22%","86.26%","203","9.38%","13.74%","1,477","7.46%"
"034
Coffee County","82",".46%","88.17%","11",".51%","11.83%","93",".47%"
"035
Colquitt County","69",".39%","92.00%","6",".28%","8.00%","75",".38%"
"036
Columbia County","124",".70%","89.86%","14",".65%","10.14%","138",".70%"
"037
Cook County","37",".21%","90.24%","4",".18%","9.76%","41",".21%"
