"County of Conviction","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"39
Crawford","5",".03%","100.00%","","","","5",".03%"
"40
Crisp","94",".55%","89.52%","11",".52%","10.48%","105",".54%"
"41
Dade","51",".30%","82.26%","11",".52%","17.74%","62",".32%"
"42
Dawson","40",".23%","81.63%","9",".43%","18.37%","49",".25%"
"43
Decatur","87",".51%","90.63%","9",".43%","9.38%","96",".50%"
"44
Dekalb","965","5.62%","92.43%","79","3.73%","7.57%","1,044","5.41%"
"45
Dodge","69",".40%","89.61%","8",".38%","10.39%","77",".40%"
"46
Dooly","37",".22%","97.37%","1",".05%","2.63%","38",".20%"
"47
Dougherty","291","1.69%","87.65%","41","1.94%","12.35%","332","1.72%"
"48
Douglas","430","2.50%","86.35%","68","3.21%","13.65%","498","2.58%"
"49
Early","27",".16%","87.10%","4",".19%","12.90%","31",".16%"
"50
Echols","2",".01%","100.00%","","","","2",".01%"
"51
Effingham","69",".40%","89.61%","8",".38%","10.39%","77",".40%"
"52
Elbert","59",".34%","88.06%","8",".38%","11.94%","67",".35%"
"53
Emanuel","54",".31%","98.18%","1",".05%","1.82%","55",".29%"
"54
Evans","19",".11%","82.61%","4",".19%","17.39%","23",".12%"
"55
Fannin","35",".20%","87.50%","5",".24%","12.50%","40",".21%"
"56
Fayette","113",".66%","87.60%","16",".76%","12.40%","129",".67%"
"57
Floyd","317","1.85%","84.53%","58","2.74%","15.47%","375","1.94%"
"58
Forsyth","106",".62%","84.80%","19",".90%","15.20%","125",".65%"
"59
Franklin","42",".24%","85.71%","7",".33%","14.29%","49",".25%"
"60
Fulton","1,512","8.80%","94.50%","88","4.16%","5.50%","1,600","8.29%"
"61
Gilmer","57",".33%","89.06%","7",".33%","10.94%","64",".33%"
"62
Glascock","2",".01%","100.00%","","","","2",".01%"
"63
Glynn","132",".77%","91.67%","12",".57%","8.33%","144",".75%"
"64
Gordon","115",".67%","82.73%","24","1.13%","17.27%","139",".72%"
"65
Grady","62",".36%","82.67%","13",".61%","17.33%","75",".39%"
"66
Greene","36",".21%","97.30%","1",".05%","2.70%","37",".19%"
"67
Gwinnett","500","2.91%","84.46%","92","4.35%","15.54%","592","3.07%"
"68
Habersham","49",".29%","85.96%","8",".38%","14.04%","57",".30%"
"69
Hall","291","1.69%","88.18%","39","1.84%","11.82%","330","1.71%"
"70
Hancock","15",".09%","100.00%","","","","15",".08%"
"71
Haralson","25",".15%","92.59%","2",".09%","7.41%","27",".14%"
"72
Harris","27",".16%","96.43%","1",".05%","3.57%","28",".15%"
"73
Hart","51",".30%","94.44%","3",".14%","5.56%","54",".28%"
"74
Heard","27",".16%","93.10%","2",".09%","6.90%","29",".15%"
"75
Henry","205","1.19%","85.77%","34","1.61%","14.23%","239","1.24%"
"76
Houston","226","1.32%","88.28%","30","1.42%","11.72%","256","1.33%"
